citekey,title,year,authors,subfield,relation,chronology_claim,method,quality,volcarch_use,note_type,file_path
calo_2014,"The Distribution of Bronze Drums in Early Southeast Asia: Trade routes and cultural spheres",2014,"Calo, A.",07 Austronesian metallurgy,supports-CATHEDRAL,1st-2nd c. CE Pejeng local Bali/Java production,"archaeometric (lead isotope analysis)",BAR International Series monograph,P0 §3.6 archaeometric sub-channel 2 (bronze); parallel to Jia 2024,subfield_primary,07_austronesian_metallurgy/_SUBFIELD_SUMMARY_metallurgy_session18.md
bernet_kempers_1988,"The Kettledrums of Southeast Asia",1988,"Bernet Kempers, A. J.",07 Austronesian metallurgy,supports,Pejeng drums Bali/Java Bronze Age,"typological/art-historical",Canonical monograph (Modern Quaternary Research in SE Asia),P0 §3.6 bronze sub-channel foundational reference,subfield_primary,07_austronesian_metallurgy/_SUBFIELD_SUMMARY_metallurgy_session18.md
lankton_bernbaum,"Korean National Treasure 634 (Sikrichong Silla tomb Jatim bead) + 10+ Gyeongju Jatim beads",~2010s,"Lankton & Bernbaum",08 Korean/Japanese tombs,supports-CATHEDRAL,late 4th - mid 6th c. CE Silla Korean tombs,"archaeometric (LA-ICP-MS, SEM-EDS, EPMA)",Q1 peer-reviewed (academia.edu),P0 §3.6 CATHEDRAL; 10+ Jatim beads in Gyeongju; largest terminal corpus,subfield_primary,08_korean_japanese_tombs/_SUBFIELD_SUMMARY_korea_japan_session18.md
lankton_2008,"A study of mid-first millennium CE Southeast Asian specialized glass beadmaking traditions",2008,"Lankton, J. W.",01 Glass bead archaeometry,supports,mid-1st millennium CE Jatim typology,"archaeometric + typological",Q1 peer-reviewed (canonical Jatim reference),P0 §3.6 foundational Jatim typology,lead_for_followup,08_korean_japanese_tombs/_SUBFIELD_SUMMARY_korea_japan_session18.md
then_2014,"Beads and pendants from the late Harbor Temple and harbor temenos in the Red Sea port of Berenike (seasons 2010-2013)",2014,"Then",09 Berenike Red Sea,supports,4th-early 6th c. CE Berenike Harbor Temple,"archaeometric + typological",peer-reviewed (academia.edu),P0 §3.6 Berenike terminal; Thailand-Vietnam-Java beads documented,subfield_primary,09_berenike_red_sea/_SUBFIELD_SUMMARY_berenike_session18.md
sidebotham_berenike,"Berenike and the Ancient Maritime Spice Route",2011,"Sidebotham, S. E.",09 Berenike Red Sea,supports,30 BCE-early Byzantine Red Sea port activity,historical archaeology monograph,Canonical monograph (UC Press),P0 §3.6 western terminus context for Channel 6,subfield_primary,09_berenike_red_sea/_SUBFIELD_SUMMARY_berenike_session18.md
green_2018,"Indo-Pacific beads from Europe to Japan? Another fifth- to seventh-century AD global distribution",2018,"Green, Caitlin",09 Berenike Red Sea,supports,5th-7th c. CE global Indo-Pacific bead distribution,historical synthesis,synthesis blog + peer literature,P0 §3.6 macro-picture synthesis,subfield_primary,09_berenike_red_sea/_SUBFIELD_SUMMARY_berenike_session18.md
subfield_04_gap,"Indonesian archaeometry underdeveloped — methodological neglect",n/a,n/a,04 Indonesian archaeometry,supports-GAP-consistent,n/a,WebSearch scoping,GAP finding (no primary paper),P0 §8 Limitations; future E212 proposal; PhD direction,subfield_summary,04_indonesian_archaeometry/_SUBFIELD_SUMMARY_indonesian_archaeometry_session18.md
pollock_2006,"The Language of the Gods in the World of Men: Sanskrit, Culture, and Power in Premodern India",2006,"Pollock, Sheldon",10 Indianization historiography,counter-thesis (engaged),300-1300 CE Sanskrit cosmopolis,historiographic,Canonical monograph (UC Press),P0 §6 engages as primary counter-thesis; nuance via Ali 2011,lead_for_followup,counter_evidence/COUNTER_THESIS_ENGAGEMENT_2026_04_21.md
wolters_1999,"History, Culture and Region in Southeast Asian Perspectives",1999,"Wolters, O. W.",10 Indianization historiography,supports-theoretical-foundation,localization as primary process,historiographic theory,Canonical (ISEAS-Cornell),P0 §6 theoretical foundation for substrate existence,lead_for_followup,counter_evidence/COUNTER_THESIS_ENGAGEMENT_2026_04_21.md
coedes_1968,"The Indianized States of Southeast Asia",1968,"Coedès, George",10 Indianization historiography,counter-thesis-discredited,Indianization primary civilization thesis,historiographic,Canonical monograph (East-West Center),P0 §6 mentioned only as historical baseline; now minority,lead_for_followup,counter_evidence/COUNTER_THESIS_ENGAGEMENT_2026_04_21.md
ferring_1986,"Rates of fluvial sedimentation: Implications for archaeological variability",1986,"Ferring, C. R.",06 Volcanic taphonomy global (methodological),methodological-caveat,general sedimentation rate variability,geoarchaeological method,Q1 Geoarchaeology,P1-core §5.6 Limitations + §2.3 cumulative vs catastrophic,lead_for_followup,counter_evidence/COUNTER_SLR_EXECUTION_2026_04_21.md
pelliot_1916,"Ye-tiao, Sseu-tiao et Java",1916,"Pelliot, Paul",03 Chinese historical texts,supports,132 CE Ye-tiao Javanese embassy identification,philological (Middle Chinese phonology),Canonical (Journal asiatique),P0 §3.3 original philological identification underlying Wolters 1967,lead_for_followup,03_chinese_historical_texts/wolters_1967_early_indonesian_commerce.md
