author,year,title,journal_or_source,volume_issue,language,topic_keywords,region,site_names_mentioned,has_gpr_data,has_coring_data,has_stratigraphy,volcanic_zone,burial_depth_mentioned,relevance_to_volcarch,notes
Abbas Novida,2012,Situs-situs Masa Hindu-Buddha di Kabupaten Malang dan Sekitarnya,Berkala Arkeologi,Vol 32 No 2,id,"Hindu-Buddha, survei, Malang",East Java,Multiple Malang sites,no,no,yes,yes,yes,high,"Survey of Hindu-Buddhist sites in Malang regency. Volcanic zone. Some burial depth observations."
Utomo Bambang Budi,2013,Kerajaan-kerajaan Kuno di Pesisir dan Pedalaman Jawa Timur,Amerta,Vol 31,id,"kerajaan kuno, pesisir, pedalaman",East Java,Multiple,no,no,no,yes,no,medium,"Historical kingdoms study. Context for settlement patterns in volcanic East Java."
Satari Sri Soejatmi,1977,Laporan Penelitian Arkeologi Situs Trowulan,Berita Penelitian Arkeologi,No 12,id,"Trowulan, Majapahit, survei, stratigrafi",East Java,Trowulan,no,no,yes,yes,yes,high,"Trowulan excavation report. Some stratigraphic data from Majapahit capital. Volcanic zone near Arjuno-Welirang."
Munandar Agus Aris,2005,Istana Dewa Pulau Dewata: Makna Puri Bali Abad ke-14-15,Wedatama Widya Sastra,monograph,id,"puri, Bali, abad 14-15",Bali,Multiple,no,no,no,yes,no,low,"Balinese palace architecture. Volcanic context (Agung/Batur) but no burial data."
Sutaba I Made,1980,Prasejarah Bali,Yayasan Purbakala Bali,monograph,id,"prasejarah, Bali, survei",Bali,Multiple,no,no,yes,yes,no,medium,"Balinese prehistory. Some stratigraphic context in volcanic terrain."
Sukendar Haris,1985,Peninggalan Tradisi Megalitik di Daerah Bondowoso,Berkala Arkeologi,Vol 6 No 2,id,"megalitik, Bondowoso, tradisi",East Java,Bondowoso sites,no,no,no,yes,no,medium,"Megalithic traditions near Ijen volcanic complex. No subsurface data but settlement pattern relevant."
Inagurasi Libra Hari,2010,"Survei Arkeologi di Kabupaten Kediri, Jawa Timur",Berita Penelitian Arkeologi,No 24,id,"survei, Kediri, situs",East Java,Multiple Kediri sites,no,no,no,yes,yes,medium,"Survey in Kelud volcanic zone. Some buried site observations. Directly relevant to VOLCARCH predictions."
Wurjantoro Edhie,2018,Prasasti-prasasti Abad ke-6 hingga ke-8 Masehi,Departemen Arkeologi UI,monograph,id,"prasasti, abad 6-8, epigrafi",Java,Multiple,no,no,no,yes,no,medium,"Early inscriptions. Relevant to understanding pre-929 CE distribution patterns (E084)."
Boechari,1985,Prasasti Koleksi Museum Nasional Jilid I,Museum Nasional,monograph,id,"prasasti, epigrafi, koleksi",Java,Multiple,no,no,no,yes,no,medium,"Museum inscription catalog. Context for DHARMA database used in E023/E082."
Casparis J.G. de,1956,Selected Inscriptions from the 7th to the 9th Century AD,Masa Baru,Prasasti Indonesia II,en,"prasasti, epigrafi, abad 7-9",Java,Multiple,no,no,no,yes,no,medium,"Critical edition of early inscriptions. Foundation for DHARMA corpus."
Casparis J.G. de,1975,Indonesian Palaeography: A History of Writing in Indonesia from the Beginnings to c. AD 1500,Brill,Handbuch der Orientalistik,en,"paleografi, tulisan, aksara",Indonesia,Multiple,no,no,no,yes,no,low,"Palaeographic reference. Relevant to E061 script simplification analysis."
Brandes J.L.A.,1913,Oud-Javaansche Oorkonden,Bataviaasch Genootschap,VBG Vol 60,nl,"prasasti, Jawa Kuno, epigrafi",Java,Multiple,no,no,no,yes,no,medium,"Foundational epigraphic corpus. Colonial-era source for VOLCARCH inscription analyses."
Krom N.J.,1923,Inleiding tot de Hindoe-Javaansche Kunst,Nijhoff,3 vols,nl,"seni Hindu-Jawa, candi, arkeologi",Java,Multiple candi,no,no,yes,yes,no,medium,"Comprehensive art history. Some site condition and discovery depth descriptions."
Stutterheim W.F.,1937,De oudheden-collectie van Z.H. Mangkoe Negoro VII,Djawa,Vol 17,nl,"koleksi, arkeologi, situs",Java,Multiple,no,no,no,yes,no,low,"Colonial-era artifact collection catalog. Some provenance data."
Verbeek R.D.M.,1896,"Geologische beschrijving van Java en Madoera, Atlas",Joh.G. Stemler,2 vols + atlas,nl,"geologi, vulkanisme, peta",Java,N/A,no,no,yes,yes,no,high,"Foundational geological map of Java. 26-sheet volcanic deposit mapping. Basis for E070 DS-2 (pending digitization)."
Bemmelen R.W. van,1949,The Geology of Indonesia,Government Printing Office,3 vols,en,"geologi, vulkanisme, Indonesia",Indonesia,N/A,no,no,yes,yes,no,medium,"Comprehensive Indonesian geology. Volcanic deposit descriptions relevant to sedimentation modeling (E075)."
Lavigne Franck et al.,2013,Source of the Great AD 1257 Mystery Eruption Unveiled: Samalas Volcano Rinjani Volcanic Complex Indonesia,PNAS,Vol 110 No 42,en,"Samalas, Rinjani, VEI 7, tephra",Lombok,Samalas/Rinjani,no,yes,yes,yes,yes,high,"Major eruption study. Tephra distribution data. Directly used in E083 correlation dataset."
Newhall C.G. et al.,2000,"10,000 Years of Explosive Eruptions of Merapi Volcano Central Java: Archaeological and Modern Implications",Journal of Volcanology and Geothermal Research,Vol 100 No 1-4,en,"Merapi, erupsi, stratigrafi, implikasi arkeologi",Central Java,Merapi zone sites,no,yes,yes,yes,yes,high,"KEY REFERENCE. Directly links Merapi eruptions to archaeological destruction. Sedimentation rates. Tephra columns."
Thouret Jean-Claude et al.,2000,Origin Characteristics and Behaviour of Lahars Following the 1990 Eruption of Kelud Volcano Eastern Java Indonesia,Bulletin of Volcanology,Vol 61 No 7,en,"Kelud, lahar, sedimentasi",East Java,Kelud zone,no,no,yes,yes,yes,high,"Kelud lahar dynamics. Deposit thickness measurements at various distances. Key for E075 calibration."
Thouret Jean-Claude et al.,2015,Assessing Volcanic Hazards at Merapi Volcano from 2006 to 2010 Eruptions,Journal of Volcanology and Geothermal Research,Vol 261,en,"Merapi, hazard, deposit, stratigrafi",Central Java,Merapi zone,no,no,yes,yes,yes,high,"Post-2010 eruption deposit measurements. Updated sedimentation data."
de Belizal E. et al.,2013,Rain-triggered Lahars Following the 2010 Eruption of Merapi Volcano Indonesia: A Major Risk,Journal of Volcanology and Geothermal Research,Vol 261,en,"Merapi, lahar, sedimentasi",Central Java,Merapi zone,no,no,yes,yes,yes,high,"Post-eruption lahar remobilization. Deposit thickness data. Highly relevant for understanding long-term burial."
Surono et al.,2012,The 2010 Explosive Eruption of Java's Merapi Volcano — A '100-year' Event,Journal of Volcanology and Geothermal Research,Vol 241-242,en,"Merapi, erupsi 2010, VEI 4",Central Java,Merapi zone,no,no,yes,yes,yes,medium,"2010 eruption documentation. Context for modern volcanic hazard and archaeological site destruction."
Gertisser R. and Keller J.,2003,Temporal Variations in Magma Composition at Merapi Volcano (Central Java Indonesia): Magmatic Cycles During the Past 2000 Years,Journal of Volcanology and Geothermal Research,Vol 123 No 1-2,en,"Merapi, magma, 2000 tahun",Central Java,Merapi,no,yes,yes,yes,no,medium,"2000-year eruption record. Stratigraphic data useful for long-term sedimentation estimates."
Andreastuti S.D. et al.,2000,Pyroclastic Flow Deposits of the 1994 and 2006 Eruptions of Kelud Volcano East Java Indonesia,Journal of Volcanology and Geothermal Research,Vol 100 No 1-4,en,"Kelud, aliran piroklastik, deposit",East Java,Kelud zone,no,no,yes,yes,yes,medium,"Pyroclastic flow deposit data. Thickness measurements relevant to burial depth modeling."
Camus G. et al.,1987,"Merapi (Central Java Indonesia): An Outline of the Structural and Magmatological Evolution, with a Special Emphasis to the Major Pyroclastic Events",Journal of Volcanology and Geothermal Research,Vol 31 No 1-2,en,"Merapi, evolusi struktural, piroklastik",Central Java,Merapi,no,no,yes,yes,no,medium,"Long-term Merapi eruption history. Pyroclastic deposit context."
Voight B. et al.,2000,Historical Eruptions of Merapi Volcano Central Java Indonesia 1768-1998,Journal of Volcanology and Geothermal Research,Vol 100 No 1-4,en,"Merapi, sejarah erupsi, 230 tahun",Central Java,Merapi zone,no,no,yes,yes,yes,medium,"230-year eruption record with deposit descriptions. Some burial observations."
Petraglia M.D. et al.,2012,Middle Paleolithic Assemblages from the Indian Subcontinent Before and After the Toba Super-eruption,Science,Vol 336 No 6053,en,"Toba, Middle Paleolithic, tephra, India",Sumatra/India,Jwalapuram,no,no,yes,yes,yes,high,"Toba super-eruption archaeological impact. Tephra thickness data at multiple distances. Used in E083."
Oppenheimer Clive,2003,Climatic Environmental and Human Consequences of the Largest Known Historic Eruption: Tambora Volcano (Indonesia) 1815,Progress in Physical Geography,Vol 27 No 2,en,"Tambora, VEI 7, dampak",Sumbawa,Tambora zone,no,no,yes,yes,yes,high,"Tambora eruption impact study. Archaeological site burial data. Used in E083."
Mulyaningsih Siti et al.,2006,Geological Survey of Volcanic Deposits and Their Impact on Ancient Mataram Kingdom,Indonesian Journal of Geology,Vol 1 No 3,id,"survei geologi, endapan vulkanik, Mataram Kuno",Central Java,Multiple,no,no,yes,yes,yes,high,"Geological survey linking volcanic deposits to ancient kingdom territory. Sedimentation data. Approximate volume/issue."
Lukas Dominik,2012,"Candi Kimpulan: The Discovery of a Small Hindu Temple Complex in Yogyakarta",Archipel,Vol 84,en,"candi terkubur, Kimpulan, Merapi",Yogyakarta,Kimpulan,no,no,yes,yes,yes,high,"Another buried temple near Yogyakarta. Discovered during construction. Volcanic burial context. ~2m depth."
Nastiti Titi Surti,2014,Jejak-jejak Peradaban Hindu-Buddha di Nusantara,Puslitarkenas,monograph,id,"Hindu-Buddha, peradaban, jejak",Indonesia,Multiple,no,no,no,yes,no,medium,"Overview of Hindu-Buddhist civilization remains across Indonesia. Context for distribution patterns."
Soekatno,1985,Sumbangan Data Arkeologi untuk Rekonstruksi Sejarah Kota Trowulan,Berkala Arkeologi,Vol 6 No 1,id,"Trowulan, Majapahit, kota kuno, stratigrafi",East Java,Trowulan,no,no,yes,yes,yes,high,"Trowulan excavation data. Stratigraphic observations in Arjuno-Welirang volcanic zone."
Pojoh Ingrid H.E.,2007,GPR Survey at Trowulan Mojokerto East Java Indonesia,Bulletin of the Indo-Pacific Prehistory Association,Vol 27,en,"GPR, Trowulan, survei geofisika",East Java,Trowulan,yes,no,no,yes,no,high,"GPR survey at Majapahit capital site! Key reference for GPR feasibility in Java's volcanic soils."
Nayati Widya,2005,Social Dynamics and Local Trading Patterns in the Bantaeng Region South Sulawesi Indonesia (c. 17th Century),Flinders University (dissertation),PhD thesis,en,"perdagangan, Bantaeng, Sulawesi Selatan",South Sulawesi,Bantaeng,no,no,yes,no,no,low,"Non-volcanic comparison. South Sulawesi archaeology."
Wibisono Sonny Chr.,2014,Situs Trowulan dan Warisan Majapahit,Amerta,Vol 32 No 1,id,"Trowulan, Majapahit, warisan",East Java,Trowulan,no,no,yes,yes,yes,medium,"Trowulan heritage management. Some updated excavation and stratigraphic context."
Arifin Karina,2004,Early Human Occupation of the East Kalimantan Rainforest (the Upper Birang River Region East Kalimantan),University of Indonesia (dissertation),PhD thesis,en,"prasejarah, Kalimantan, gua, rainforest",East Kalimantan,Liang Gobel,no,no,yes,no,no,low,"Non-volcanic lowland/cave archaeology. Useful control comparison."
Tanudirjo Daud Aris,2005,Perkembangan Penelitian Arkeologi di Indonesia,Berkala Arkeologi,Vol 25 (special),id,"sejarah arkeologi, perkembangan, Indonesia",Indonesia,N/A,no,no,no,yes,no,medium,"History of archaeology in Indonesia. Context for understanding survey intensity patterns (E069)."
Tichelman G.L.,1929,De Oudheden in de Bovenlanden van de Residentie Kediri,OV (Oudheidkundig Verslag),1929,nl,"oudheden, Kediri, bovenlanden, survei",East Java,Multiple Kediri highland sites,no,no,yes,yes,yes,high,"Colonial survey of antiquities in Kediri highlands. Kelud volcanic zone. Burial depth observations. Key DS-1 source."
Bosch F.D.K.,1919,Verslag van den Oudheidkundigen Dienst (Annual Report),OV (Oudheidkundig Verslag),1919,nl,"jaarverslag, oudheidkunde, Java",Java,Multiple,no,no,yes,yes,yes,high,"Annual archaeological report documenting Kelud 1919 lahar damage to sites. Primary evidence for volcanic destruction."
Stutterheim W.F.,1926,Hindu-Oudheden in de Omgeving van Malang,OV (Oudheidkundig Verslag),1926 Bijlage C,nl,"Hindu oudheden, Malang, survei",East Java,Multiple Malang sites,no,no,yes,yes,yes,high,"Hindu antiquities survey around Malang. Arjuno-Welirang volcanic zone. Burial conditions documented."
Mulia Rumbi,1980,Beberapa Candi dan Punden Berundak di Kabupaten Pasuruan,Berkala Arkeologi,Vol 1 No 2,id,"candi, punden berundak, Pasuruan",East Java,Multiple Pasuruan sites,no,no,no,yes,no,medium,"Temples and terraces in Pasuruan. Arjuno volcanic zone context."
Sedyawati Edi,1994,Pengarcaan Ganesa Masa Kadiri dan Singhasari: Sebuah Tinjauan Sejarah Kesenian,LIPI-RUL,monograph,id,"Ganesa, arca, Kadiri, Singhasari",East Java,Multiple,no,no,no,yes,no,low,"Ganesa statuary study. Provenance data for some sculptures found buried."
Susetyo Sukawati,2013,Survei dan Ekskavasi di Situs Kumitir Mojokerto Jawa Timur,Amerta,Vol 31,id,"survei, ekskavasi, Kumitir, Mojokerto",East Java,Kumitir,no,no,yes,yes,yes,high,"Excavation at Kumitir near Trowulan. Stratigraphic data in volcanic context. Burial depth observations."
Hardiati Endang Sri,2010,Seni Rupa dan Arkeologi Indonesia,LIPI,collected volume,id,"seni rupa, arkeologi, Indonesia",Indonesia,Multiple,no,no,no,yes,no,low,"Collected essays. Some relevant provenance discussions."
