ref_id,tradition,source_text,author,citation,language,date_ce,date_label,passage_text,nusantara_relevance,independence_group,scholarly_consensus,n_entities,entity_types,notes
ROM-001,ROMAN,Naturalis Historia,Pliny the Elder,"Pliny, NH VI.54-58, XII.41-46, XII.82-85",Latin,77,77 CE,"VI.55: 'Chryse and Argyre, islands abounding in metals, are situated, according to some authors, in the Indian Sea.' XII.41: 'India is the nearest to us of those lands which produce cinnamon.' XII.84: 'The most esteemed [camphor] comes from the island of Borneo.' (actually a later interpolation?) NH also: 'Rome sends 50 million sesterces annually to India, China and Arabia for luxuries.'",MEDIUM,greco-roman,PROBABLE,4,PLACE:Chryse; PLACE:Argyre; COMMODITY:camphor; COMMODITY:cinnamon,Pliny compiles multiple sources. Some camphor references may be interpolations. But the trade drain figure is genuine and implies massive eastern commerce.
ROM-002,ROMAN,Chorographia,Pomponius Mela,De Chorographia III.70,Latin,43,~43 CE,"III.70: 'Beyond the Ganges, the coast turns south... there lies Chryse and Argyre, one rich in gold, the other in silver. The soil of Chryse is of gold, whence the name.'",MEDIUM,greco-roman,PROBABLE,2,PLACE:Chryse; COMMODITY:gold,"Brief mention, follows Eratosthenes tradition. Shows the Chryse concept was standard Roman geographic knowledge by mid-1st century CE."
IND-P01,INDIAN_PALI,Supparaka Jataka (no. 463),"Anonymous (Pali canon, Khuddaka Nikaya)",Jataka III.188-193 (Fausbøll ed.),Pali,-350,~4th-3rd century BCE (oral tradition older),"The Bodhisattva as the blind navigator Supparaka guides merchants through perilous seas. They pass the Sea of Kusamala (bamboo), Sea of Nalakamala (reeds), Sea of Daddhamala (curds — white foam), and reach the Sea of Gold (suvannamaya-vālikā). 'They saw the ocean as if boiling, and it was gold-colored.' The merchants fill their ship with gold and jewels.",HIGH,indian,PROBABLE,2,PLACE:Suvarnabhumi; ROUTE:sea voyages,The Jataka tales encode real maritime knowledge in story form. Supparaka's voyage matches Indian Ocean sailing directions (east from India).
IND-P02,INDIAN_PALI,Baveru Jataka (no. 339),Anonymous (Pali canon),Jataka III.126-130,Pali,-350,~4th-3rd century BCE,"Merchants from Jambudvipa sail to Baveru (= Babylon). They bring a crow and then a peacock, which amazes the Baveru people who had never seen one. The peacock is worshipped. Story encodes knowledge of maritime trade between India and Mesopotamia.",MEDIUM,indian,PROBABLE,2,PLACE:Baveru; ACTOR:Jambudvipa merchants,Shows Indian maritime trade to Babylon was known by 4th c. BCE. Same merchant communities traded eastward to Suvarnabhumi.
IND-P03,INDIAN_PALI,Sankha Jataka (no. 442),Anonymous (Pali canon),Jataka IV.15-22,Pali,-350,~4th-3rd century BCE,"Sankha the Brahmin sails to Suvannabhumi to trade. He accumulates great wealth. 'Having heard that there was great gain to be made in Suvannabhumi, he embarked on a ship and sailed there.'",HIGH,indian,PROBABLE,2,PLACE:Suvannabhumi; ACTOR:Sankha,Direct mention of sailing to Suvannabhumi for trade. Shows it was a known destination for Indian merchants.
IND-P04,INDIAN_PALI,Mahajanaka Jataka (no. 539),Anonymous (Pali canon),Jataka VI.30-68,Pali,-300,~4th-3rd century BCE,Prince Mahajanaka sails to Suvannabhumi on a merchant vessel. A storm sinks the ship. 'Seven hundred men were aboard that ship bound for Suvannabhumi.' Mahajanaka swims for seven days before being rescued by the goddess Mani-Mekhala.,HIGH,indian,PROBABLE,2,PLACE:Suvannabhumi; VESSEL:merchant vessel,700-man ships may be literary exaggeration but indicates major maritime expeditions to Suvannabhumi. Mani-Mekhala is SE Asian goddess figure.
IND-P05,INDIAN_PALI,Milindapanha (Questions of King Milinda),Anonymous,Milindapanha 359 (Trenckner ed.),Pali,-100,~2nd-1st century BCE,"In a discussion about trade, the text lists destinations of merchant voyages: 'Merchants go to Vanga, Takkola, China, Sovira, Surat, Alexandria, the Koromandel coast, Suvannabhumi, and other places.'",HIGH,indian,CONSENSUS,3,PLACE:Suvannabhumi; PLACE:Takkola; PLACE:Vanga,Suvannabhumi listed as routine trade destination alongside Alexandria and China. Takkola = Takua Pa is well-established. Shows SE Asia integrated into Indian Ocean trade network.
IND-P06,INDIAN_PALI,Dipavamsa / Mahavamsa (Sinhalese chronicles),Sinhalese monks,Dipavamsa VIII.1-13; Mahavamsa XII.1-44,Pali,-250,"Events described ~250 BCE (composed later, 4th-5th c. CE)","Ashoka sends his son Mahinda and daughter Sanghamitta as Buddhist missionaries. Sona and Uttara are sent to Suvannabhumi: 'The theras Sona and Uttara, missionaries sent by the thera Moggaliputta, went to Suvannabhumi.' They establish Buddhism there.",HIGH,indian,CONTESTED,3,PLACE:Suvannabhumi; ACTOR:Sona and Uttara; ACTOR:Ashoka,The Suvannabhumi mission is central to SE Asian Buddhist identity but historicity debated. Composed centuries after events. Location disputed (Myanmar vs Nakhon Pathom vs Sumatra).
IND-S01,INDIAN_SANSKRIT,"Ramayana, Kishkindha Kanda 4.40.30",Valmiki (trad.),"Ramayana IV.40.30-33 (Critical Edition, Baroda)",Sanskrit,-300,~4th-2nd century BCE (oral tradition older),"Sugriva instructs the monkey search party: 'Search Yavadvipa, adorned with seven kingdoms, the Island of Gold and Silver, rich in gold mines. Beyond Yavadvipa is Mount Shishira, whose peak touches the sky.' (yavadvīpam atikramya śiśiraṃ nāma parvatam)",HIGH,indian,PROBABLE,4,PLACE:Yavadvipa; PLACE:Suvarnadvipa; PLACE:Rupyaka; PLACE:Mount Shishira,Yavadvipa is one of the earliest Sanskrit references to Java. 'Seven kingdoms' implies political complexity known to Indians.
IND-S02,INDIAN_SANSKRIT,Arthashastra,Kautilya (trad.),Arthashastra II.11 (Kangle ed.),Sanskrit,-300,~4th-2nd century BCE (debated dating),Lists trade goods and their origins. Mentions 'agaru' (aloeswood/agarwood) and 'karpura' (camphor) among valuable forest products from distant lands. Camphor from 'the islands' is classified as superior grade.,HIGH,indian,PROBABLE,2,COMMODITY:karpura; COMMODITY:agaru,Camphor (Dryobalanops) is exclusively from Sumatra/Borneo. Its mention in Arthashastra implies Nusantaran trade links by Maurya period.
IND-S03,INDIAN_SANSKRIT,"Mahabharata, Sabha Parva 2.28",Vyasa (trad.),"Mahabharata II.28 (Critical Edition, Bhandarkar)",Sanskrit,-200,"~2nd century BCE (core text, accretion period)","In the Digvijaya (conquest of the directions), Pandava warriors reach Yavadvipa and Suvarnadvipa among their conquests of distant lands. Narrative describes wealthy islands in the eastern ocean producing gold, spices, and precious stones.",HIGH,indian,PROBABLE,2,PLACE:Yavadvipa; PLACE:Suvarnadvipa,Epic convention of world-conquest includes SE Asian islands as known destinations. Confirms Sanskrit geographic knowledge of Nusantara.
IND-S04,INDIAN_SANSKRIT,Kathasaritsagara (Ocean of Streams of Story),Somadeva,"Kathasaritsagara, Lambaka 1-18 (Penzer ed.)",Sanskrit,1070,"~1070 CE (based on earlier Brihatkatha, ~5th c.)","Multiple stories describe merchants sailing to Suvarnadvipa and the islands of the eastern sea. Includes tale of a merchant who sails to Kataha (Kedah) and proceeds to the spice islands. Rich descriptions of camphor, sandalwood, cloves, and gold trade.",HIGH,indian,CONSENSUS,4,PLACE:Suvarnadvipa; PLACE:Kataha; COMMODITY:camphor; COMMODITY:cloves,Late composition but based on much earlier Brihatkatha (~5th c. CE). Provides detailed mercantile knowledge of SE Asian trade.
CHN-001,CHINESE,"Hou Han Shu (Book of the Later Han), Treatise on the Western Regions",Fan Ye (based on earlier records),"Hou Han Shu 88, Xiyu Zhuan",Classical Chinese,130,Events ~130 CE (composed 445 CE),Records an embassy from 'Shan' (掸) or Rinan (日南) to the Han court in 131 CE bringing performers and rhinoceros. Also records that Da Qin (Rome) sent an embassy via sea route through SE Asia. 'The king of Tianzhu [India] sent envoys to present... coming by the sea route via Ye-tiao [Java/Sumatra?].',HIGH,chinese,CONTESTED,3,POLITY:Ye-tiao 葉調; POLITY:Da Qin; PLACE:Rinan,"Ye-tiao identification debated. If correct, earliest Chinese reference to a Nusantaran polity. Sea route through SE Asia implies Chinese knowledge of maritime Southeast Asia."
CHN-002,CHINESE,"Nanzhou Yiwu Zhi (南州異物志, Strange Things of the Southern Regions)",Wan Chen 萬震,Reconstructed from Taiping Yulan and other encyclopedias,Classical Chinese,264,~264 CE (Wu Kingdom),"Describes Ye-po-ti (耶婆提): 'The country of Ye-po-ti is in the sea... The people are short and dark... They use iron swords and copper instruments. Their boats have outriggers on both sides.' Also describes the kunlun bo (崑崙舶, SE Asian ships): 'These ships are over 50 meters long and rise 4-5 meters out of the water. They carry 600-700 persons and 10,000 bushels of cargo.'",HIGH,chinese,PROBABLE,4,POLITY:Ye-po-ti 耶婆提; VESSEL:kunlun bo 崑崙舶; ACTOR:kunlun 崑崙; VESSEL:outrigger,"Original text lost, reconstructed from encyclopedias. Kunlun bo description matches Austronesian vessel technology. 50m ships = massive maritime capacity."
CHN-003,CHINESE,"Fo Guo Ji (法顯傳, Record of Buddhist Kingdoms)",Faxian 法顯,"Legge translation (1886), Chapter 38-40",Classical Chinese,414,"413-414 CE (voyage), composed ~416 CE","Faxian returns from India by sea via Sri Lanka: 'Embarking in a large merchant ship, we sailed with the first fair wind for Ye-po-ti. The voyage took about 90 days. We stayed there for 5 months waiting for the northeast monsoon. Then we sailed for Canton. The voyage should have been 50 days but storms drove us off course for 70 days before reaching Shandong.'",HIGH,chinese,CONSENSUS,2,POLITY:Ye-po-ti 耶婆提; VESSEL:merchant ship,First-person eyewitness account. Faxian physically visited Java/Sumatra in 413 CE. Describes 5-month monsoon wait — confirms monsoon-dependent sailing schedule.
CHN-004,CHINESE,"Liang Shu (Book of Liang), Southeast Asia sections",Yao Silian 姚思廉,"Liang Shu 54, Zhufan Zhuan",Classical Chinese,520,Events ~5th-6th c. CE (composed ~636 CE),"Records embassies from multiple SE Asian kingdoms to the Liang court: Poli 婆利 (Bali?), Dandan 丹丹 (Kelantan?), Langkasuka 狼牙修 (Kedah/Pattani), Panpan 盤盤 (Malay Peninsula). Describes products: camphor, tortoiseshell, gold, rhinoceros horn. Mentions Buddhist practice in several kingdoms.",HIGH,chinese,PROBABLE,4,POLITY:Poli 婆利; POLITY:Langkasuka 狼牙修; POLITY:Panpan 盤盤; POLITY:Dandan 丹丹,Multiple SE Asian polities sending embassies to China by 5th-6th c. Shows complex political landscape. Identifications debated but locations in ISEA region certain.
CHN-005,CHINESE,Yijing's Record of Buddhist Practices (南海寄歸內法傳),Yijing 義淨,Takakusu translation (1896),Classical Chinese,689,"671-695 CE (travels), composed ~691 CE","Yijing visits Srivijaya (Shi-li-fo-shi 室利佛逝) and describes it as major Buddhist learning center: 'In the fortified city of Bhoga [Palembang], there are more than 1,000 Buddhist monks. Their rules and ceremonies are the same as in India. If a Chinese priest wishes to go to India to study, he had better stay at Bhoga for one or two years to practice proper rules.'",HIGH,chinese,CONSENSUS,3,POLITY:Shi-li-fo-shi 室利佛逝; PLACE:Bhoga; POLITY:Melayu 末羅瑜,"First-person eyewitness, 6 months in Srivijaya. Describes 1000+ monks = major urban center. This is post-400 CE but shows the scale of what came before."
CHN-006,CHINESE,Song Shu (Book of Song),Shen Yue 沈約,"Song Shu 97, Yiman Zhuan",Classical Chinese,430,Events ~5th c. CE (composed ~488 CE),"Records embassy from Holotan (訶羅單, = Kalingga or Taruma?) in 430 CE, and Shepo (闍婆 = Java) in 433 CE. Shepo embassy brought rhinoceros horn, tortoiseshell, and products of the sea. Also records embassy from Linyi (Champa) and Funan (Cambodia).",HIGH,chinese,PROBABLE,2,POLITY:Shepo 闍婆; POLITY:Holotan 訶羅單,Earliest secure Chinese reference to a specifically Javanese polity sending formal embassy. Shows Java as organized state by 430 CE.
CHN-007,CHINESE,"Sui Shu (Book of Sui), Southeast Asia sections",Wei Zheng 魏徵 et al.,"Sui Shu 82, Nanman Zhuan",Classical Chinese,607,Events ~6th-7th c. CE (composed ~636 CE),"Describes Chitu 赤土 (Red Earth = Kelantan?): 'The king sits on a golden couch shaped like a dragon... The walls of the palace are adorned with gold and silver. There are Buddhist temples and Brahmanical hermitages.' Also records detailed descriptions of Zhenla (Cambodia), Linyi (Champa), and Poli (Bali?).",MEDIUM,chinese,PROBABLE,2,POLITY:Chitu 赤土; POLITY:Poli 婆利,Chitu description suggests wealthy Indianized state in Malay Peninsula. Buddhist + Brahmanical coexistence.
ARB-001,ARAB,Akhbar as-Sin wa l-Hind (Accounts of China and India),Attributed to Sulayman al-Tajir,Relation de la Chine et de l'Inde (Ferrand 1922; Sauvaget 1948),Arabic,851,~851 CE,"Describes Zabaj (الزابج = Java/Srivijaya): 'The king of Zabaj... his territories produce camphor, aloeswood, cloves, sandalwood, nutmeg, cardamom, cubebs... The ships of the Chinese come to trade there. It takes about a month to cross the territory of Zabaj.' Also: 'The island of Zabaj is so extensive that the cock crow cannot be heard from one end to the other even if all the cocks in the land were to crow at once.'",HIGH,arab,CONSENSUS,5,POLITY:Zabaj; COMMODITY:camphor; COMMODITY:cloves; COMMODITY:nutmeg; COMMODITY:sandalwood,First detailed Arab description of Nusantaran trade economy. Commodity list matches known endemic species exactly. 'Cannot hear cock crow' = description of Java's east-west extent.
ARB-002,ARAB,Muruj adh-Dhahab (Meadows of Gold),al-Masudi,"al-Masudi, Muruj adh-Dhahab, Chapter on India and SE Asia (Pellat ed.)",Arabic,947,~947 CE,"Describes the Maharaja of Zabaj as 'the greatest king of the islands': 'His authority extends over the islands... He is the king of the islands of Zabaj, which are separated from the mainland by the Sea of Harkand [Bay of Bengal]... Among the wonders of his kingdom is the island of Kalah [Kedah]... There are many kingdoms in these islands, countless in number.'",HIGH,arab,CONSENSUS,4,POLITY:Zabaj/Sribuza; ACTOR:Maharaja; PLACE:Kalah; PLACE:Sea of Harkand,al-Masudi's description of the Maharaja of Zabaj matches Srivijaya's maritime thalassocracy. 'Countless kingdoms' = awareness of ISEA political complexity.
ARB-003,ARAB,Kitab al-Masalik wa-l-Mamalik (Book of Routes and Realms),Ibn Khurdadhbih,"BGA VI (de Goeje ed. 1889), pp. 65-70",Arabic,846,"~846 CE (1st edition), ~885 CE (2nd edition)","Lists the products of the eastern islands: 'From the land of camphor [Fansur/Barus] comes the finest camphor. From the land of Sila [Srivijaya?] comes gold and tin. From the lands beyond come cloves and nutmeg.' Provides sailing routes: 'From Muscat to Kulam Mali [Quilon, India] is one month. From Kulam Mali to Kalah [Kedah] is one month. From Kalah to Zabaj is one month.'",HIGH,arab,CONSENSUS,5,PLACE:Fansur; POLITY:Zabaj; POLITY:Sila; COMMODITY:camphor; COMMODITY:tin,Ibn Khurdadhbih was Postmaster General of the Abbasid caliphate — official geographic intelligence. Sailing routes give concrete distances.
ARB-004,ARAB,Kitab Ajaib al-Hind (Book of the Wonders of India),Buzurg ibn Shahriyar,Freeman-Grenville translation (1981),Arabic,953,~953 CE,"Collection of sailors' tales from the Indian Ocean. Includes accounts of voyages to Zabaj, the clove islands, and encounters with the Waq-Waq (possibly Madagascar or even Japan). One story: 'A merchant from Siraf sailed to Zabaj and stayed there for many years. He said: I never saw so many ships in one place, nor such abundance of gold.'",HIGH,arab,PROBABLE,3,POLITY:Zabaj; PLACE:Waq-Waq; PLACE:Siraf,"Mix of fact and fantasy, but maritime knowledge is real. Siraf was the major Persian Gulf trading port for the eastern routes."
TAM-001,TAMIL,Pattinappalai,Kadiyalur Uruthirankannanar,"Pattinappalai, lines 185-192 (Pillai ed.)",Tamil,150,~1st-2nd century CE (Sangam period),"Describes the port of Puhar (Kaveripattinam): 'Ships from beyond the sea came with pepper, and gold, and horses, and the fragrant things of the mountains.' Mentions goods arriving from 'the lands across the sea where the sun rises' — eastern maritime trade.",MEDIUM,tamil,PROBABLE,2,PLACE:Puhar/Kaveripattinam; COMMODITY:spices from the east,Sangam literature gap filled. Tamil maritime traders = key intermediaries in Indian Ocean network. 'Lands where sun rises' plausibly includes SE Asia.
TAM-002,TAMIL,Manimekalai,Sattanar (Chithalai Chathanar),"Manimekalai, Cantos 6-9 (Danielou ed.)",Tamil,200,~2nd-3rd century CE,Buddhist epic describing sea voyages from Puhar. Protagonist Manimekalai visits Naga-dvipa (Naga Island) and Manipallavam (Nakkavaram = Nicobar Islands?). The goddess Manimegala protects sailors. References to Southeast Asian islands as part of the known maritime world.,MEDIUM,tamil,CONTESTED,2,PLACE:Naga-dvipa; PLACE:Manipallavam,"Naga-dvipa identification disputed. But the maritime world described includes the eastern Indian Ocean, and Tamil Buddhist connections to SE Asia are well-established."
TAM-003,TAMIL,Akananuru (poem 149),Various Sangam poets,Akananuru 149 (Hart & Heifetz translation),Tamil,100,~1st-2nd century CE,"Describes a port scene: 'The great ships, tall as the height of houses... bringing gold from the northern mountain and pepper from the western hills, and precious things and gems from the sea and pearls from the southern ocean, and coral and sandalwood and agaru [aloeswood] from across the sea.'",MEDIUM,tamil,PROBABLE,2,COMMODITY:agaru/aloeswood; COMMODITY:sandalwood,"Aloeswood is primarily from SE Asia (Aquilaria spp. in Sumatra, Borneo, Vietnam). Its presence in Sangam trade poetry implies Nusantaran supply chains."
LING-001,LINGUISTIC,Camphor etymology chain,"Multiple linguists (Mahdi, Adelaar, Blench)","Mahdi 1994, Adelaar 1995",Multiple,-500,~500 BCE (estimated initial borrowing),"Malay 'kapur Barus' → Sanskrit 'karpūra' → Arabic 'kāfūr' → Medieval Latin 'camphora'. The loanword chain is unidirectional: Malay to Sanskrit to Arabic to Latin. This demonstrates that the product AND its name originated in Nusantara (specifically Barus, North Sumatra) and were transmitted westward through trade networks.",HIGH,linguistic,CONSENSUS,2,COMMODITY:kapur Barus; PLACE:Barus,Unidirectional loanword chain = evidence of Nusantaran-origin commodity entering global trade. Dryobalanops camphor is EXCLUSIVELY from Sumatra/Borneo.
LING-002,LINGUISTIC,Malagasy-Malay linguistic relationship,"Dahl 1951; Adelaar 1995, 2005","Adelaar, 'The Austronesian Languages of Asia and Madagascar' (2005)",Multiple,500,~5th century CE (migration period),"Malagasy language is classified as Southeast Barito (Borneo) with major Malay and Javanese loanword layers. 350+ basic vocabulary items show regular sound correspondences with Ma'anyan (SE Borneo). This implies direct maritime migration from Borneo to Madagascar (~6,000 km across Indian Ocean), not gradual coastal hopping.",HIGH,linguistic,CONSENSUS,3,PLACE:Ma'anyan; PLACE:Malagasy; COMMODITY:Malay loanwords,Demonstrates Nusantaran maritime capability: direct transoceanic navigation Borneo→Madagascar. Implies organized maritime society far predating written records.
LING-003,LINGUISTIC,Austronesian loanwords in Swahili and East African languages,"Blench 2007, 2010","Blench, 'New evidence for the Austronesian impact on the East African coast' (2010)",Multiple,200,~1st-3rd century CE (estimated contact period),"Multiple Austronesian loanwords in East African coastal languages: outrigger terminology, crop names (banana, taro, coconut), musical instrument terms. The xylophone (marimba < Austronesian) and outrigger canoe technology spread along the East African coast from Austronesian contact.",HIGH,linguistic,PROBABLE,2,COMMODITY:Austronesian loanwords; VESSEL:outrigger,"Austronesian maritime reach extended to East Africa. Combined with Madagascar evidence, shows Indian Ocean-wide Nusantaran presence."
NUS-001,NUSANTARAN,Yupa inscriptions of Kutai,King Mulavarman,Vogel 1918; Casparis 1975,Sanskrit,400,~400 CE,"Seven stone pillars (yupa) in Pallava-script Sanskrit: 'Kundunga begat a son named Asvavarman... Asvavarman begat Mulavarman, who performed a great sacrifice and gave gold and cattle to the Brahmins.' Earliest Nusantaran inscription.",HIGH,nusantaran_epigraphy,CONSENSUS,2,POLITY:Kutai; ACTOR:Mulavarman,Earliest Nusantaran inscription. But 3rd generation king = polity existed well before 400 CE. Indianized vocabulary but indigenous power structure.
NUS-002,NUSANTARAN,Tugu inscription,King Purnavarman of Tarumanagara,Casparis 1975; Nihom 1998,Sanskrit,450,~450 CE,"Describes construction of a canal by King Purnavarman: 'This canal, the foremost of all canals, was ordered dug by the illustrious Purnavarman.' Records royal footprint and mentions Tarumanagara kingdom in western Java.",HIGH,nusantaran_epigraphy,CONSENSUS,2,POLITY:Tarumanagara; ACTOR:Purnavarman,"Canal construction implies organized labor, hydraulic engineering, state apparatus. Tarumanagara controlled northwest Java."
NUS-003,NUSANTARAN,Kedukan Bukit inscription,Unknown (Srivijayan court),Casparis 1956; Manguin 2009,Old Malay (with Sanskrit loanwords),682,682 CE (dated: 16 June 682 Saka),"Records a military expedition by siddhayatra (holy journey): 'On the bright 11th day of the month of Vaisakha in the Saka year 604... an army of 20,000 marched... They set out from Minanga Tamvan by boat.' First Srivijayan inscription, establishes Palembang as capital.",HIGH,nusantaran_epigraphy,CONSENSUS,2,POLITY:Srivijaya; PLACE:Minanga Tamvan,"20,000-strong army + dated inscription = state-level polity. Old Malay (not Sanskrit) = indigenous language tradition."
