category,date_range,site,location,lat,lon,evidence_type,description,implies,volcanic_zone,reference
Agricultural,2000 BCE-present,Slametan mortuary tradition,Java (general),,,"Ethnographic, textual","VOLCARCH P5: 1000-day slametan mortuary cycle predates Hinduism. Intervals map to decomposition stages in volcanic soil. Pre-Indic ritual system (hyang, maṅhuri) persists in >47% of inscriptions even after Indianization.",Sophisticated mortuary ritual system with implicit knowledge of taphonomic processes. This is NOT primitive — it requires multigenerational empirical observation of decomposition rates.,N/A,"Amien 2026 (P5, under review); Hendrajaya & Almu'tasim 2020"
Genetic,50000 BCE-present,Denisovan admixture in modern Indonesians,Indonesia-wide,,,Genomic analysis,"Modern Indonesians carry 2-4% Denisovan ancestry, more than any other population. This introgression occurred ~45,000 years ago in Wallacea. Multiple admixture events suggest sustained interaction with archaic hominins unique to the Indonesian archipelago.",Indonesia's human history is deeper and more complex than anywhere else in the Austronesian world. The continent-like depth of genetic history contrasts sharply with the shallow archaeological record.,All,Jacobs et al. 2019; Carlhoff et al. 2021
Genetic,3000-1000 BCE,Austronesian migration genomics,Indonesia-wide,,,Genomic analysis,"Ancient DNA and modern genomics confirm at least two major migration events into Indonesia: (1) First wave ~50ka (Papuan-related), (2) Austronesian expansion ~3000-2000 BCE (Taiwan-origin farmers). Java shows predominantly Austronesian ancestry with Papuan-related admixture.",Population continuity in Java for ~4000+ years before first inscription. These are the SAME people who later adopted Sanskrit writing — not newcomers.,All,Lipson et al. 2018; McColl et al. 2018
Maritime trade,300 BCE-300 CE,Indian Ocean maritime network,"Indonesia-wide (particularly Strait of Malacca, Java Sea)",,,"Shipwrecks, trade goods","Evidence of regular maritime trade connecting India, Southeast Asia, and China by ~300 BCE. Indonesian outrigger canoes (prau) were among the most sophisticated sailing vessels in the pre-modern world. Madagascar was colonized by Indonesian sailors ~500-700 CE — proving trans-oceanic capability.",Indonesian maritime communities had world-class navigation technology and were active participants (not passive recipients) in Indian Ocean trade for centuries before Indianization.,Coastal,Manguin 2004; Beaujard 2012
Maritime trade,100 BCE-500 CE,Kosambi hypothesis: Indianization was trade-driven,Conceptual,,,Historical theory,"D.D. Kosambi and later van Leur argued that Indianization was driven by EXISTING Indonesian demand for prestige goods and religious legitimacy — not by Indian colonization. Indonesian rulers adopted Sanskrit because it served their political purposes, not because they lacked civilization.",The 'beginning' at 400 CE is not the beginning of civilization but the beginning of WRITING. The civilization that adopted writing was already complex.,N/A,Kosambi 1965; van Leur 1955; Wolters 1967
External text,300 BCE-200 CE,Ramayana 'Yavadvipa' — seven kingdoms,India (describing Java),,,Sanskrit epic text,"Ramayana describes Yavadvipa with 'seven kingdoms' — implying political complexity and multiple polities. Sanskrit name 'island of barley' indicates agricultural recognition. Multiple kingdoms suggest inter-polity relations, diplomacy, and competition centuries before any inscription.","Political fragmentation into seven kingdoms implies state-level organization with territorial boundaries, succession systems, and inter-polity competition — all before 200 CE.",other,"Valmiki Ramayana, Kiskindhakanda; Wheatley 1961; Coedès 1968"
External text,150 CE,Ptolemy 'Iabadiou' — coordinate accuracy,Alexandria (describing Java),,,Greek geographical text,"Ptolemy's Geography renders Yavadvipa as 'Iabadiou', placed at ~8.5°S latitude — remarkably accurate for 2nd-century geographical knowledge (Java's actual latitude ~7-8°S). Described as 'very fertile' with gold. This precision implies detailed informant knowledge, likely from sailors who had visited.",Accurate latitude placement at ~8.5°S implies repeated voyages and accumulated navigational knowledge. Java was not a rumor but a documented destination with known coordinates.,other,"Ptolemy, Geography VII.2; Stückelberger & Graßhoff 2006"
External text,77 CE,Pliny Naturalis Historia — Chryse and spice trade,Rome (describing Indonesian archipelago),,,Roman encyclopedic text,"Pliny's Naturalis Historia references 'Chryse' (gold island) and documents spice trade goods originating from the Indonesian archipelago. The specificity of trade goods (cloves, cassia) indicates established commercial channels, not occasional contact.","By 77 CE, Indonesian spice trade goods were catalogued in Roman encyclopedic literature. This requires sustained multi-node trade networks across the Indian Ocean.",other,"Pliny, Naturalis Historia VI.54, XII; Miller 1969"
External text,~50 CE,Periplus Maris Erythraei — Chryse as easternmost destination,Greco-Roman world (describing Southeast Asia),,,Greek trade manual,"The Periplus Maris Erythraei identifies 'Chryse' as the easternmost known trade destination. Indonesian spices — particularly cloves and cinnamon — were documented in Mediterranean commerce. The Periplus is a practical merchant's guide, not literary geography, making its references operationally significant.",Indonesian archipelago was the terminus of the longest trade route in the ancient world. Merchant ships were reaching or sourcing goods from Indonesia by mid-1st century CE.,other,Periplus Maris Erythraei §63; Casson 1989
External text,~111 CE (events ~1st c. BCE),Han Shu maritime route through Southeast Asia,China (describing maritime Southeast Asia),,,Chinese dynastic history,"Ban Gu's Han Shu (Book of Han, compiled ~111 CE) records a maritime trade route from southern China through Southeast Asia, describing events from the 1st century BCE. The route passes through the Indonesian archipelago, confirming Chinese awareness of maritime Southeast Asian polities.","Chinese maritime trade through Indonesian waters was established by the 1st century BCE. This implies port facilities, provisioning stations, and local intermediaries along the route.",other,"Ban Gu, Han Shu (Dili zhi); Wang 1958; Wolters 1967"
External text,132 CE,Hou Han Shu 'Ye-Tiao' embassy to Han court,China (receiving embassy from Java/Sumatra),,,Chinese dynastic history,"The Hou Han Shu (Book of Later Han) records that in 132 CE, the kingdom of 'Ye-Tiao' (possibly Java or Sumatra) sent a diplomatic mission to the Han court. The embassy brought tribute goods. This is the earliest recorded diplomatic contact between Indonesia and China.","By 132 CE, a polity in Java or Sumatra was sufficiently organized to dispatch a diplomatic embassy to China — implying state-level organization, knowledge of Chinese protocol, and maritime capability for the voyage.",other,Hou Han Shu (Xiyu zhuan); Wheatley 1961; Wolters 1967
External text,414 CE,Fa Xian 'Ye-Po-Ti' — firsthand account,Java or Sumatra,,,Chinese Buddhist pilgrim first-person account,"Fa Xian's first-person account of Ye-Po-Ti (414 CE): Brahmanism was already flourishing, while Buddhism was 'not much known.' This is a direct eyewitness observation, not hearsay. The established state of Brahmanism implies decades or centuries of prior Indian religious influence.",First-person witness confirms Hindu religious infrastructure was mature by 414 CE — BEFORE any surviving inscription in Java. Buddhism's absence suggests selective adoption of Indian cultural elements.,other,"Fa Xian, Foguo ji (A Record of Buddhistic Kingdoms); Legge 1886"
Maritime trade,200 BCE-200 CE,Sembiran Rouletted Ware — direct India-Bali trade,North Bali,-8.15,115.35,"Indian pottery, glass beads, high-tin bronze","Sembiran yielded Indian rouletted ware, glass beads, and high-tin bronze — materials diagnostic of direct trade contact with South India (Tamil Nadu / Arikamedu). High-tin bronze is particularly significant as it indicates metallurgical exchange, not just commodity trade.","Direct maritime trade between India and Bali by ~200 BCE. High-tin bronze indicates technological transfer, not just commodity exchange. Bali had communities sophisticated enough to participate in international metallurgical networks.",other,Ardika & Bellwood 1991; Calo et al. 2015; Bellina 2007
Maritime trade,200 BCE-500 CE,Buni Complex — coastal trade station,North coast West Java,-6.15,107.15,"Paddle-impressed pottery, Indian imports","The Buni Complex represents a coastal trade station with distinctive paddle-impressed pottery tradition and Indian trade imports. The site complex spans multiple locations along the north Java coast (Buni, Bekasi, Karawang), suggesting a network of related settlements rather than a single site.",A network of coastal trade stations implies organized maritime commerce with standardized pottery production. This proto-urban coastal network predates any inscriptional evidence from West Java by centuries.,volcanic,Walker & Santoso 1977; Manguin & Agustijanto 2012
Archaeological,300 BCE-100 CE,Dong Son bronze drums — including Moon of Pejeng,Java and Bali,-8.53,115.35,"Bronze drums, elite exchange goods","Dong Son bronze drums distributed across Java and Bali, including the Moon of Pejeng (Bulan Pejeng) in Bali — at 186cm diameter, the largest known bronze drum in the world. Its size indicates local casting capability or elite-level long-distance acquisition. Found in ritual/ceremonial contexts.",The Moon of Pejeng's extraordinary size (186cm) suggests either local bronze-casting at world-class scale or the ability to transport massive prestige objects across maritime Southeast Asia. Either interpretation implies high social complexity.,other,Bernet Kempers 1988; Calo 2014
Maritime trade,~1700 BCE,"Clove at Terqa, Syria — trans-oceanic trade evidence","Terqa, Syria (cloves native only to Maluku)",34.92,40.55,Archaeobotanical remains,"Cloves (Syzygium aromaticum) found in a burned house at Terqa, Syria, dated to ~1700 BCE. Cloves are native ONLY to the Maluku Islands (eastern Indonesia). Their presence in Bronze Age Syria implies a trans-oceanic trade network spanning >10,000 km, the longest documented trade route of the 2nd millennium BCE.","Indonesian spices were reaching the Middle East by 1700 BCE — over 2,000 years before any inscription in Indonesia. This requires multi-node maritime trade networks of extraordinary geographic scope.",other,Buccellati & Buccellati 1983; Turner 2004; Cornévin 2015
Archaeological,4th-5th century CE,Batujaya temples — earliest Buddhist architecture,"Karawang, West Java",-6.15,107.3,Brick Buddhist temple complex,"Batujaya temple complex in Karawang represents the earliest known Buddhist architecture in Indonesia, dated to the 4th-5th century CE. Brick stupas and viharas. Located near the Buni Complex sites, suggesting continuity from pre-Hindu trade settlement to early Buddhist religious center.",Buddhist architectural tradition in West Java contemporary with or slightly after the earliest inscriptions. The proximity to Buni Complex suggests centuries of cultural development from trade station to religious center.,volcanic,Manguin & Agustijanto 2012; Djafar 2010
Earliest inscription,~400 CE,Yupa inscriptions (Mulawarman),"Kutai, East Kalimantan",-0.5,117.0,Sanskrit inscription on stone pillars,"Earliest known inscriptions in Indonesia. 7 yupa (sacrificial posts) by King Mulawarman, grandson of Kundungga (non-Sanskrit name). Pallava script. Describe Vedic yajna sacrifice with massive cattle gifts.","Even the FIRST inscriptions describe a third-generation king — meaning the dynasty existed for 50-100 years before adopting writing. The grandfather's name (Kundungga) is indigenous, not Sanskrit.","No (Kalimantan, non-volcanic)",Vogel 1918; Chhabra 1965
Earliest inscription,~450 CE,Tarumanagara inscriptions (Purnavarman),"West Java (Bogor, Bekasi)",-6.6,106.8,Sanskrit inscription on stone,"Seven inscriptions by King Purnavarman of Tarumanagara. Describe canal construction (Tugu inscription), city fortification, Vishnu worship. The Tugu inscription records a 12-km canal — evidence of massive organized labor.","By ~450 CE, West Java had a state capable of building 12-km canals. This infrastructure does not emerge overnight — it requires centuries of prior development.",Yes (near Salak/Gede),Kern 1917; Vogel 1925
