site_name,country,volcano,lat,lon,burial_depth_m,tephra_type,eruption_date,vei,discovery_method,survey_technique,estimated_cost_usd,key_reference,success_factors,notes
Taupo area Maori sites,New Zealand,Taupo,-38.82,176.0,0.3-2,ignimbrite + tephra_fall,~232 CE (revised from 186 CE),7,excavation + geological survey,"excavation, tephra analysis",unknown,"Wilson & Walker 1985; Lowe et al. 2008; Holdaway & Beavan 1999; Hogg et al. 2012",Massive eruption predates Polynesian settlement (~1250 CE) so direct burial of sites unlikely; BUT Taupo tephra is critical chronostratigraphic marker across New Zealand; Maori oral traditions record volcanic activity,"Important clarification: Taupo ~232 CE eruption PREDATES Maori settlement by ~1000 years. No Maori sites were buried. However Taupo Pumice is a key stratigraphic marker for ALL NZ archaeology. Included for methodological importance, not as burial case."
Tambora buried settlements,Indonesia,Tambora,-8.25,118.0,1-3,pyroclastic_flow + tephra_fall,1815 CE,7,archaeological excavation (2004+),"excavation, GPR","~300000 (estimated, University of Rhode Island/Bristol campaigns)","Oppenheimer 2003; Sigurdsson & Carey 2015; Gao et al. 2006",2004 excavation by Sigurdsson found Sumbawan village buried under 3m pyroclastic flow; carbonized house + occupants (Pompeii of the East); oral traditions guided search; prior geological mapping of deposits,"Kingdom of Tambora (~10000 people) obliterated. Sigurdsson began archaeological excavation 2004 near Pancasila village. Found carbonized house with 2 occupants, bronze bowls, pottery. Buried under ~3m pyroclastic flow. Very limited excavation to date."
Sambisari Temple,Indonesia,Merapi,-7.752,110.441,6.5,lahar + volcanic_sediment,ongoing sedimentation (temple ~9th c.),N/A,chance (farmer plowing 1966),"excavation, hand clearing","unknown (Indonesian government excavation)",Tjahjono 1999; OV colonial reports,Chance discovery by farmer; shallow plowing hit stone blocks; government excavation revealed complete Hindu temple buried 6.5m; demonstrates ongoing Merapi sedimentation burying Mataram-era sites,"Discovered 1966 when farmer's plow struck stone. Complete Shiva temple with linga-yoni. 6.5m burial depth. Excavated by Suaka Peninggalan Sejarah dan Purbakala. Near Yogyakarta airport. Key VOLCARCH evidence — E083 TAC-014."
Kedulan Temple,Indonesia,Merapi,-7.72,110.464,5-7,lahar + volcanic_sediment,ongoing sedimentation (temple ~9th c.),N/A,chance (sand mining 1993),"excavation, hand clearing","unknown (Indonesian government excavation)",Anom et al. 1993; Tjahjono 1999,Sand miners discovered stone structures at 5-7m depth; government rescue excavation; Hindu temple complex partially excavated; demonstrates same burial process as Sambisari 27 years later — ongoing Merapi sedimentation,"Discovered 1993 during commercial sand mining (ironic: volcanic sand mining uncovered volcanically-buried temple). Burial depth 5-7m. Only partially excavated. Key VOLCARCH evidence — E083 TAC-015."
Borobudur,Indonesia,Merapi,-7.608,110.204,partial (jungle + tephra),tephra_fall + lahar_sediment,ongoing sedimentation,N/A,local knowledge (rediscovered 1814),"excavation, restoration","~25000000 (UNESCO restoration 1975-1982, actual)",Soekmono 1976; Raffles 1817; Dumarçay 1986,Largest Buddhist monument; partially buried by volcanic ash and jungle; Raffles ordered clearing 1814; Dutch restoration 1907-1911; UNESCO mega-restoration 1975-1982,"Not fully buried like Sambisari — upper terraces remained visible but lower galleries and base buried. Volcanic sedimentation + tropical vegetation. Restoration cost $25M (UNESCO Borobudur project). Key VOLCARCH evidence — E083 TAC-013."
Trowulan (Majapahit capital),Indonesia,Arjuno-Welirang,-7.55,112.39,0.75-4.28,lahar + volcanic_sediment,ongoing sedimentation,N/A,colonial excavation + local knowledge,"excavation, trenching, coring","unknown (multi-decade Indonesian + foreign campaigns)","OV 1920 p.84; OV 1925 p.91; OV 1927; OV 1929 p.35; Miksic 1999",Colonial reports documented 1-4.28m burial of Majapahit structures; continued Indonesian excavation; site extends ~100 km2 but most structures buried; local brick mining has been both destructive and revelatory,"Majapahit capital (~1293-1500 CE). Colonial-era Dutch surveys found walls, foundations, statues at 0.75-4.28m depth (multiple OV reports). Arjuno-Welirang lahar/sedimentation responsible. Key VOLCARCH evidence — E083 TAC-030 through TAC-037."
Candi Tikus,Indonesia,Arjuno-Welirang,-7.5617,112.3803,3.5,lahar + volcanic_sediment,ongoing sedimentation,N/A,chance (agricultural),excavation,"unknown (Indonesian government)",OV 1914 p.57-58,Bathing pool/petirtaan of Majapahit court buried 3.5m; chance discovery; complete Majapahit royal bathing complex; demonstrates that even monumental architecture becomes invisible at 3+ m burial,"Part of Trowulan/Majapahit complex. Royal bathing complex (petirtaan). Buried 3.5m under volcanic sediment. Name means 'rat temple' — rats were first to find it. Key VOLCARCH evidence — E083 TAC-035."
Prambanan buried sections,Indonesia,Merapi,-7.752,110.491,up to 9.14,lahar + volcanic_sediment,ongoing sedimentation,N/A,colonial excavation,"excavation, well digging","unknown (Dutch colonial + Indonesian government)",OV 1920 p.87; OV 1925 p.62,Known temple complex but 4th row temples completely underground; Vishnu statue found at 9.14m depth during well digging; demonstrates that even at famous sites there are deeply buried unknown structures,"Main temples restored, but 4th row temples remain underground (OV 1920). Silver Vishnu statue found 9.14m deep near Prambanan (OV 1925) — deepest documented burial in E083 dataset. Key VOLCARCH evidence — E083 TAC-011, TAC-018."
Dieng Plateau temples,Indonesia,Dieng volcanic complex,-7.21,109.92,1-2.5,tephra_fall + volcanic_sediment,ongoing volcanic activity,N/A,colonial clearing (pre-1814),"excavation, drainage","unknown (Dutch colonial + Indonesian)",OV 1912 p.33; Kempers 1959,Highland plateau temples partially buried and waterlogged; burial mound at 2.5m depth; ongoing volcanic gas emissions complicate archaeology; temples originally much more numerous,"Dieng temples (~8th-9th c.) on active volcanic plateau. OV 1912 reports 2.5m burial depth for one mound. Volcanic gases (CO2, H2S) killed 149 people in 1979 — active hazard. Key VOLCARCH evidence — E083 TAC-043, TAC-044."
Gedong Songa,Indonesia,Ungaran,-7.21,110.34,~1,volcanic_sediment + landslide,ongoing sedimentation,N/A,colonial documentation,"excavation, stabilization",unknown,OV 1917 photo 301; Kempers 1959,Group of 9 Hindu temples on Ungaran slopes; partial burial and collapse due to volcanic/slope processes; only 3.5 km from Ungaran summit; demonstrates that even documented sites suffer ongoing volcanic destruction,"Name means 'nine buildings' — originally more structures. At 3.5 km from Ungaran summit. Ongoing collapse and burial. Key VOLCARCH evidence — E083 TAC-045."
Kelud 1919 lahar sites,Indonesia,Kelud,-7.93,112.31,2+,lahar,1919 CE,4,post-disaster colonial survey,"survey, excavation","unknown (colonial OV surveys)",OV 1919 p.47-52; Kemmerling 1921,Colonial surveyors documented temple damage/burial immediately after 1919 lahar; Candi Ponggoh and Sumber Nanas buried ~2m; Panataran narrowly missed; demonstrates stochastic nature of volcanic destruction,"7 sites affected in single eruption event: 2 buried, 1 destroyed (statues swept away), 4 near-misses. Colonial OV reports provide contemporary primary documentation. Key VOLCARCH evidence — E083 TAC-003 through TAC-009."
Nea Kameni/Santorini later phases,Greece (Santorini),Thera (Santorini),36.4,25.396,1-5,lava + tephra,various (46 CE to 1950 CE),1-3,geological survey,"geological survey, coring",unknown,"Druitt et al. 1999; Fytikas et al. 1990",Post-Minoan volcanic activity on Santorini including Nea Kameni island formation; multiple small eruptions documented historically; relevant for understanding multi-phase volcanic impact on same region,"Santorini has had 12+ eruptions since the Minoan event. Nea Kameni (formed 46 CE-1950 CE) is built entirely of post-Minoan lava. Historical harbor blocked repeatedly. Not direct archaeological burial but demonstrates continuous volcanic hazard at inhabited sites."
Oplontis (Torre Annunziata),Italy,Vesuvius,40.756,14.451,4-6,tephra_fall + pyroclastic_surge,79 CE,5,chance (Bourbon-era tunneling 1709),"excavation, tunneling","~500000-1000000 annual (site-level, estimated)","De Caro & Guzzo 1979; Clarke 2003; Thomas & Clarke 2007",Luxury Roman villa (Villa A of Poppaea) preserved under same tephra as Pompeii; extraordinary frescoes; Villa B commercial — 54 human remains with jewelry/coins suggesting attempted flight; systematic Italian excavation,"Two villas (A and B) buried by Vesuvius 79 CE. Same event as Pompeii/Herculaneum. Villa A attributed to Nero's wife Poppaea. UNESCO World Heritage (part of Pompeii designation). Less visited than Pompeii but equally well preserved."
Stabiae,Italy,Vesuvius,40.7,14.483,4-6,tephra_fall + pyroclastic_surge,79 CE,5,Bourbon-era excavation (1749),"excavation, trenching","~300000-500000 annual (site-level, estimated)",Miniero 2003; Parslow 1995; Restoring Ancient Stabiae Foundation,Multiple luxury villas preserved under Vesuvius 79 CE tephra; Pliny the Elder died here; Bourbon excavation → backfilled → re-excavated modern era; RAS Foundation (international collaboration) model for site management,"Ancient resort town. Pliny the Elder died at Stabiae during 79 CE eruption. Multiple villas with frescoes (Villa San Marco, Villa Arianna). Excavated 1749-1782 then backfilled; re-excavation since 1950s. Less known than Pompeii but large site."
Cerro Zapotecas,Mexico,Popocatepetl,19.05,-98.32,0.3-2,tephra_fall,~50 BCE and other eruptions,varies,surface survey + excavation,"excavation, survey","unknown (UNAM/INAH campaigns)",Plunket & Uruñuela 1998; Siebe et al. 1996,Pre-Hispanic settlements repeatedly affected by Popocatepetl eruptions; tephra layers provide chronological markers; population displacement documented archaeologically; demonstrates cyclical abandonment-reoccupation pattern,"Multiple eruptions affected Puebla-Tlaxcala valley. Plunket & Uruñuela documented abandonment episodes. Tetimpa site buried under ~2m Popocatepetl tephra. Archaeological evidence for abandonment → reoccupation cycles."
Catalhoyuk (volcanic obsidian context),Turkey,Hasan Dagi/Cappadocian volcanoes,37.666,32.828,0 (not buried by tephra),none (not volcanic burial),N/A,N/A,excavation,"excavation, remote_sensing, flotation","~1000000 annual (site-level, actual)","Hodder 2006; Mellaart 1967; Schmid et al. 2019",Not volcanic burial — included as volcanic landscape comparandum; settlement used volcanic obsidian; famous mural may depict eruption of Hasan Dagi; demonstrates volcanic awareness in Neolithic communities,"NOT buried by volcanic deposit. Included because: (1) famous wall painting possibly depicting Hasan Dagi eruption ~6600 BCE (Schmid et al. 2019 confirmed), (2) volcanic obsidian economy, (3) demonstrates ancient volcanic awareness — relevant to P11 volcanic informedness thesis."
Buried sites near Pinatubo,Philippines,Pinatubo,15.13,120.35,1-10,lahar + tephra_fall,1991 CE,6,post-disaster survey,"remote_sensing, survey, excavation","~100000-300000 (estimated, various research campaigns)","Newhall & Punongbayan 1996; Rodolfo et al. 1996; Gaillard 2007",Modern event with full scientific documentation; secondary lahars continued burying lowlands for years after eruption; Aeta indigenous communities displaced; demonstrates that lahar burial is a PROCESS not an event — ongoing for 5+ years post-eruption,"1991 eruption deposited 5-6 km3 of tephra. Secondary lahars redeposited material for years, burying towns and agricultural land under 1-10m. ~200 deaths from eruption, ~300+ from lahars 1991-1997. Directly analogous to Kelud/Merapi lahar processes in Java."
Buried sites near Vesuvius (pre-79 CE),Italy,Vesuvius,40.82,14.43,3-10,pyroclastic_flow + tephra,Avellino eruption ~1995 BCE,5-6,construction + excavation,"excavation, coring","unknown (Italian government/university campaigns)","Cioni et al. 1999; Mastrolorenzo et al. 2006; Sevink et al. 2011",Bronze Age settlements buried by Avellino eruption ~3900 BP; footprints preserved in wet ash (Mastrolorenzo et al. 2006); demonstrates that Vesuvius had major pre-79 CE impacts; multiple burial cycles at same volcano,"Avellino pumice eruption (~1995 BCE) buried Bronze Age settlements NW of Vesuvius. Human footprints preserved in pyroclastic surge deposit near Avellino. Shows 79 CE was not Vesuvius's first catastrophic impact on human settlement."
