source,year_report,site_name,modern_name,location,regency,province,lat,lon,built_ce,found_year,burial_depth_m,depth_type,material,volcanic_system,volcano_dist_km,rate_mm_yr,condition,context,notes,ov_page
OV_1920,1920,Submerged city at Bale Kambang,Trowulan / Bale Kambang,Trowulan plateau,Mojokerto,East Java,-7.55,112.39,~1293-1478,1920,4.28,measured,settlement remains (brick foundations),Arjuno-Welirang,18,7.8,buried,volcanic+alluvial,Drainage to 4.28m needed to expose entire buried city; 'de geheele stad te voorschijn te brengen'. Near old crater lake (kratermeer). Majapahit capital evidence.,84
OV_1923,1923,Baksteenen fundamenten Boeloeredjo,Fondasi Bulurejdo,Desa Pait / Boeloeredjo,unknown (inventaris list),East Java,,,unknown,1923,,,brick foundations,unknown,,,surface,excavation,Brick foundations found on tegalan (dry field) in gehucht Boeloeredjo. Colonial-era surface find.,150
OV_1924,1924,Beeldje van trachiet (Karang Intan),Arca Karang Intan,between Goenoeng Koepang and Karang Intan,Martapoera,South Kalimantan,-3.42,114.85,unknown,1903,7.5,measured,trachyte statuette (34x15cm),none (Kalimantan),,,found,mining excavation,Found at 7-8m depth during mining operations ca. 1903 by E.A. Hilckes. Non-volcanic control — deep burial from alluvial processes in Kalimantan.,17
OV_1924,1924,Excavation East voorsprong (pottery at 0.80m),unknown excavation,unknown (excavation report),unknown,Java,,,unknown,1924,0.8,measured,earthenware pots,unknown,,,excavated,excavation,Seven earthenware pots found upside-down at 0.80m depth in northeast corner of eastern projection.,71
OV_1925,1925,Wisnu beeld Prambanan (30 voet depth),Arca Wisnu Prambanan,Prambanan,Klaten / Yogyakarta border,Central Java / Yogyakarta,-7.752,110.491,pre-900 CE,,9.14,measured,silver Vishnu statue (7x4 cm),Merapi,25,,found,excavation,Silver Vishnu found 30 voeten (9.14m) in ground during well digging at Prambanan. Remarkable depth. Dieduksman collection.,62
OV_1925,1925,Gouden kaloong Kidool (20 voet depth),Perhiasan Gunung Kidul,Goenoeng Kidool,Yogyakarta,Yogyakarta,-7.87,110.4,unknown,,6.1,measured,gold necklace with gemstones,Merapi (distal),40,,found,well digging,Gold necklace with gemstones found 20 voeten (6.1m) in ground during well-making at Gunung Kidul. Dieduksman collection.,62
OV_1925,1925,Bronzen beeld Dorowatie (25 voet depth),Arca Dorowati Surakarta,Dorowatie,Surakarta,Central Java,-7.57,110.82,unknown,,7.62,measured,"bronze deity statue (14cm, 8-armed)",Merapi / Lawu,30,,found,well digging,Bronze 8-armed Shiva-Guru statue found 25 voeten (7.62m) during well digging at Dorowatie. Dieduksman collection.,62
OV_1925,1925,Bronzen klok Tangalan (25 voet depth),Lonceng Candi Tangalan,Candi Tangalan,Yogyakarta,Yogyakarta,-7.74,110.42,unknown,,7.62,measured,"bronze bell (36cm h, 33cm dia)",Merapi,30,,found,excavation,Bronze Buddhist bell found 25 voeten (7.62m) in the ruins of Candi Tangalan. Dieduksman collection.,63
OV_1925,1925,Trowulan copper deposit (1.20m under surface),Situs Trowulan (penemuan tembaga),Trowulan,Mojokerto,East Java,-7.55,112.39,~1300-1500,1925,1.2,measured,copper plate + tools + gold + coins,Arjuno-Welirang,18,2.2,buried,volcanic+alluvial,"Copper plate with bundled tools, pot with ma-coins and gold strip at 1.20m below maaiveld. Western/southern Trowulan: humus from forest overgrowth; lahar material only at great depth.",91
OV_1925,1925,Monument interior (60cm depth),unknown monument,unknown,unknown,Java,,,unknown,1925,0.6,measured,stone monument,unknown,,,excavated,excavation,Investigation of floor under monument interior; all layers continue to 60cm depth; no hidden objects found.,123
OV_1928,1928,Waterput Pajak (ancient well),Sumur Kuno Pajak,Desa Pajak bij Pioengan,Yogyakarta,Yogyakarta,-7.8,110.47,unknown,1928,4.6,measured,"stone well (7 rings, white stone)",Merapi,20,,excavated,excavation,"Ancient well of 7 white stone rings, 4.60m deep, 0.77m diameter. Reported by Ass. Resident Dr. Adam. Villagers dug it out on own initiative.",12
OV_1928,1928,Tempelterrein urnen (1.20-1.50m depth),Situs Urna Candi,NW corner temple terrain,unknown,Java,,,unknown,1928,1.35,measured,earthenware urns (7 pcs) + iron spoon fragments,unknown,,,excavated,excavation,"7 earthenware urns at 1.20-1.50m depth, filled with earth; some with corroded iron spoon-shaped objects. Grave monuments (grafmonumentjes) suspected nearby.",15
OV_1928,1928,Tempel Bandjardadap (lingga pit 0.68m),Candi Bandjardadap,Desa Bandjardadap,Yogyakarta (Kotagedeh),Yogyakarta,-7.82,110.4,unknown,1928,0.68,measured,stone pedestal (0.90x0.90x0.89m),Merapi,22,,found,excavation,Simple temple pedestal with lingga pit 0.68m deep (0.30m square). Foundations believed still in ground. Must have been a fairly large temple.,115
OV_1929,1929,Candi with sunken yoni (2.50m pit),unknown candi,unknown,unknown,Java,,,unknown,1929,2.5,measured,stone+yoni+urns,unknown,,,excavated,excavation,"Temple pit 1.90x1.90m, 2.50m deep; yoni gradually sank with layers; two urns at 0.50 and 1.00m depth. Foundation at ~1.30m below maaiveld, still intact.",29
OV_1929,1929,Stadsmuur Panggoeng (city wall 0.75m),Tembok Kota Trowulan (Panggoeng),Panggoeng / Trowulan,Mojokerto,East Java,-7.56,112.38,~1300-1478,1929,0.75,measured,brick city wall on sand foundation,Arjuno-Welirang,18,1.4,buried,volcanic+alluvial,Western city wall of Trowulan/Majapahit found 0.75m below surface. Dug to 5m depth — still finding artifacts (pots with lids). Wall meets southern wall at right angle at Panggoeng.,35
OV_1916,1916,Koetogiraug (Majapahit stones),Kutorejo,Desa Mendek / Koetogiraug,Mojokerto,East Java,-7.6,112.4,Majapahit era,1916,,,thousands of 'Majapahit stones' + brick wall,Arjuno-Welirang,12,,scattered,volcanic,Thousands of so-called Majapahit stones and remnant of brick wall. On slopes of Welirang/Andjoemoro. Regent of Modjokerto commented on possible significance.,§6
OV_1916,1916,Padoesan forest fragments (Welirang slopes),Situs Padoesan,Padoesan / onderdistrict Patjet,Mojokerto,East Java,-7.62,112.43,unknown,1916,,,stone fragments + brick wall remnants,Welirang,5,,scattered,volcanic,Various fragments restacked by local population; Tjandi Padoesan traces of wall; in forest Soember-ngadiman a Shiva lingga found near Hindu brick building (3.65m).,§6
OV_1916,1916,Tempel sunk 1m below surface,unknown candi (sunk),unknown (inspection report),unknown,Java,,,unknown,1916,1.0,measured,stone temple,unknown,,,buried,unknown,Temple foot lay average 1m below surrounding terrain; excavated to reveal first step of stair entrance. Surface then cleared ~10m wide.,54 (§6)
OV_1912,1912,"Biaro stupa (Sumatra, 6.3 el depth)",Biaro stupa,Sumatra's West Coast,unknown,West Sumatra,,,unknown,,4.35,measured,stupa + gold+silver+bronze flask + rubies,Sumatran volcanic arc,,,found,excavation,"Stupa remnant called biaro; at 6.3 el (4.35m) depth: flask top with gold collar, silver rim, bronze body, with Nagari inscription. Three uncut rubies inside.",17
OV_1912,1912,Burial mound Dieng (2.50m depth),Dieng burial site,near Dieng temples,Banjarnegara / Wonosobo,Central Java,-7.21,109.92,unknown,1912,2.5,measured,brick + pottery sherds + fish vertebra cylinder,Dieng,3,,excavated,volcanic,"Square truncated pyramid ~2m high at SE corner; pit with brick, 2.50m depth yielded only mud, red+blue potsherds, and cylindrical fish vertebra object.",33
OV_1914,1914,Fundament Selan (1.20m below terrain),Situs Selan,near Magelang,Magelang,Central Java,-7.48,110.21,unknown,1914,1.2,measured,brick foundation + 11 Ganesha statues,Merapi / Merbabu,15,,buried,volcanic,Brick foundation 3 rooms of ~4.85m each; 1.20m below surrounding terrain; 11 Ganesha statues found. Led by Melville.,§6 (p.57)
OV_1914,1914,Fundament Tjandiredjo (0.70m below maaiveld),Situs Candirejo,"Tjandiredjo, near Magelang",Magelang,Central Java,-7.5,110.22,unknown,1914,0.7,measured,"brick foundation + 7 statues (Durga, Ganesha, Nandi)",Merapi / Merbabu,14,,buried,volcanic,"Brick foundation 0.70m below maaiveld; same construction as Selan; yielded Durga, Ganesha, Nandi statues. Volcanic zone near Merapi.",§6 (p.57)
OV_1914,1914,Tjandi Djairi (disappeared sculptures),Candi Jairi,"unknown, res. Pasoeroean",Pasuruan,East Java,-7.63,112.9,unknown,,,,stone sculptures (disappeared),Arjuno-Welirang,,,lost,unknown,Investigation for disappeared sculptures led to no result. Reported by Resident of Pasuruan. Example of colonial-era artifact loss.,p.64
OV_1917,1917,Gedong Sanga temple buried under rubble,Candi Gedong Sanga (collapsed),Gedong Sanga / Ambarawa,Semarang,Central Java,-7.21,110.34,~700-800 CE,,1.0,estimated,stone temple + Nandishwara + fragments,Ungaran,8,,buried,volcanic+collapse,Photo 301: 'Nandiwara en bedolven tempelfragmenten'. Digging 2m deeper brought only fallen stone blocks and earth. Temple had different construction than others in group.,"photo 301, §6"
OV_1917,1917,Solo/Surakarta excavation temple,Situs Solo (excavation),Solo / Surakarta,Surakarta,Central Java,-7.57,110.82,unknown,1917,1.5,measured,stone monument + brick wall,Merapi / Lawu,30,,buried,volcanic,"Previous terrain height was ~1.50m below statue pedestal base and 8 buttresses. Around the walls stones (not rubble) were excavated, confirming low original height.",p.5
OV_1921,1921,Koeto Renon / Benteng Majapahit fortress,Kuterejo / Benteng Lumajang,Dessa Koetorono / Padjarakan,Lumajang,East Java,-8.1,113.2,1238 Saka (=1316 CE),1861,,,brick fortress + walls (8m high remnants) + thousands of bricks,Semeru,15,,damaged,volcanic+vandalism,Massive Majapahit fortress covering several km2; Hageman 1861: 'Onder den grond liggen de resten die later een groote stad zullen aanduiden'; identified as Mpu Nambi's fortress from Nagarakrtagama/Pararaton; 9/10 destroyed by brick looting for construction; systematic survey needed.,36-39
OV_1921,1921,Koeto Renon bath ruins (recently demolished),Pemandian Kuterejo,"blok Djeding, Koeto Renon",Lumajang,East Java,-8.1,113.2,Majapahit era,1921,,,brick bath house,Semeru,15,,destroyed,vandalism,Walls of old bath demolished only 6 years before report (ca. 1915). Blok Djeding contained many bricks. Example of destruction of Majapahit-era remains.,38 (footnote)
OV_1921,1921,Tjandi Djaboeng (1m pit filled),Candi Jabung,Djaboeng,Probolinggo,East Java,-7.72,113.3,~1354 CE,,1.0,measured,brick temple (cylindrical),Bromo-Tengger,25,,damaged,excavation,"1m deep hole in temple chamber (not connected to break-hole at east side, unlike Candi Bangkal); filled with sand and watered. Temple foot reinforced with vertical masonry walls.",q3-q4 (§6)
OV_1920,1920,Prambanan 4th row temples buried,Candi Prambanan (baris ke-4),Prambanan,Klaten / Sleman,Central Java / Yogyakarta,-7.752,110.491,~850 CE,1920,,,"stone temples (4th row, underground)",Merapi,25,,buried,volcanic,Fourth row of temples on east side 'onder den grond bedolven liggen' (lie buried underground); excavation will need to go down to foundations of this row; ring wall needs deeper construction.,q4 (~p.87)
OV_1927,1927,Generic buried temple observation (Krom),,general (restoration guidance),,Java,,,,,,,stone temples,,,,,methodological,Krom's restoration guidelines: 'Het kan voorkomen dat bij een bedolven tempel steenen of fragmenten worden aangetroffen waarvoor aan den tempel zelven geen bestemming gevonden kan worden' — acknowledges buried temples as common phenomenon.,p.14226
OV_1929,1929,Tjandi Kalasan (below groundwater),Candi Kalasan,Kalasan,Sleman,Yogyakarta,-7.767,110.472,~778 CE,,,,stone temple,Merapi,22,,damaged,volcanic+hydrological,Northern half of terrain lies below groundwater level during rainy season; 'zeer drassig' (very marshy). Needs drainage system. Groundwater rise likely from Merapi lahar deposits changing hydrology.,p.29
OV_1914,1914,"Leide steenen (stone coffins, 1.40m)",Kubur batu Palembang,Palembang region,Palembang,South Sumatra,-3.0,104.75,unknown,,1.4,measured,"stone coffins (7cm walls, no bottom)",none,,,found,alluvial,"Stone coffins standing in ground, 1.40m deep, 2m x 4m at top narrowing to 75 x 90cm at bottom. Non-volcanic control — alluvial burial in Sumatra.",inventaris
OV_1914,1914,Hindu-Chinese finds (paar voet diep),Temuan Hindu-Cina,Riouw region,Riau,Riau,0.5,104.4,unknown,,0.61,estimated,Hindu rings + Chinese porcelain,none,,,found,alluvial,Hindu rings/jewelry + Chinese porcelain found 'een paar voet diep' (~2 feet = 0.61m). Non-volcanic control site.,inventaris
OV_1922,1922,Golden statue under landslide (Bandjarnegara),Arca Emas Karangkobar,Desa Karang Kobar,Banjarnegara,Central Java,-7.27,109.69,unknown,1922,,,"gold seated statue (8.5 kati, ~f2000 value)",Dieng,10,,found,landslide,Golden seated statue found under landslide earth covering potato field; 8.5 kati gold; sold to Chinese buyer for f300. Near Dieng volcanic complex.,§6
OV_1923,1923,Fundament Palanggading (mostly underground),Situs Palanggading,Desa Palanggading / east of Pasar Gentan,Yogyakarta,Yogyakarta,-7.8,110.38,unknown,1923,,qualitative,stone foundation + Mahadevi statue,Merapi,20,,damaged,volcanic,'Bouwwerk bleek nog voor het grootste deel onder den grond te zitten.' Locals were demolishing it for stone sales; stopped by colonial authorities. Mahadevi statue recovered. Active destruction of buried heritage.,§8
OV_1923,1923,Tangkilan brick gate (4m below terrain),Situs Tangkilan,Tangkilan / district Papar,Kediri,East Java,-7.8,112.01,unknown,1923,4.0,measured,brick gate + ring wall + terra-cotta objects,Kelud,18,,buried,volcanic,Small brick gate with ring wall found at ~4m depth below current terrain. Near previously known inscribed stone. Terra-cotta objects. Major burial depth near Kelud.,§8 (q3-q4)
OV_1923,1923,Bastion excavation (6m+ without floor),unknown bastion,unknown,unknown,Java,,,unknown,1923,6.0,measured,brick/stone bastion,unknown,,,buried,excavation,Excavation inside bastion reached 6m depth without hitting a floor. NW corner cleared to base of foundation. Demonstrates extreme burial depth possible.,§8 (q3-q4)
OV_1927,1927,Trowulan probe pits (2m depth),Situs Trowulan (probing),Trowulan,Mojokerto,East Java,-7.55,112.39,~1293-1478,1927,2.0,measured,brick walls + stone + dagob fragment,Arjuno-Welirang,18,3.6,buried,volcanic,Systematic probe pits at ~2m depth below maaiveld following wall directions. White profiled stone and dagob fragment at 1m depth. Trenching impossible due to local agriculture. Trowulan-Majapahit capital.,§ (p.9066)
OV_1927,1927,White stone + dagob fragment 1m underground,Situs Trowulan (temuan 1m),"Trowulan, temple complex area",Mojokerto,East Java,-7.55,112.39,~1293-1478,1927,1.0,measured,white profiled stone + circular dagob fragment (andesite),Arjuno-Welirang,18,1.8,buried,volcanic,White profiled stone found 1m below surface near temples. Nearby: circular dagob fragment (andesite) at same depth. Partially exposed flat stone with hope of inscription (disappointed).,p.9 (vak E/F)
OV_1917,1917,Tjandi Ngetos (Wilis slopes),Candi Ngetos,5 paal N of Berbek / Wilis,Nganjuk,East Java,-7.6,111.9,1325 Saka (=1403 CE),,,,stone temple,Wilis / Kelud,10,,damaged,volcanic,"Temple on Wilis with view of Nganjuk plains and Kelud on horizon. In poor condition, danger of collapse. Natural stone lintels substituted with bricks over time.",8
OV_1917,1917,Tjandi Perot (tree-strangled),Candi Perot,Parakan district / Temanggung,Temanggung,Central Java,-7.32,110.17,unknown,,,,stone temple,Sumbing/Sindoro,12,,damaged,biological,Temple strangled by tree roots (banyan). Classic example of biological taphonomy destroying archaeological remains.,photo 315
OV_1919,1919,"Tjandi's Wringin Brandjang, Kotes, Sawentar",Candi Wringin Branjang / Kotes / Sawentar,near Blitar,Blitar,East Java,-8.02,112.18,~1200-1400,,0,measured,stone temples,Kelud,14,0,intact,volcanic (survived),Three candis checked after 1919 Kelut lahar — all undamaged. Lahar flow path missed them. More survival bias controls.,47
