title,date,identifier,relevance,tags,text_length,n_depths,depths_m,depth_contexts,locations,primary_lat,primary_lon
Hindoe-oudheden op Java.,1916/04/04,http://resolver.kb.nl/resolve?urn=ddd:010652682:mpeg21:a0098:ocr,4,ARCHAEOLOGY; JAVA,1456,0,,,Modjokerto,-7.47,112.43
Oudheden op Midden-Java.,1902/11/24,http://resolver.kb.nl/resolve?urn=ddd:010298879:mpeg21:a0058:ocr,4,ARCHAEOLOGY; JAVA,1208,0,,,Prambanan,-7.75,110.49
ONDERZOEK VAN JAVA’S VERLEDEN. Vijf-en-twintig jaar zorg voor oudheden.,1927/03/25,http://resolver.kb.nl/resolve?urn=MMKB23:001708061:mpeg21:a00027:ocr,4,ARCHAEOLOGY; JAVA,5823,0,,,Malang; Panataran,-7.98,112.63
Praehistorische Vondsi Versteende reuzenschildpad bij Boemiajoe,1938/06/16,http://resolver.kb.nl/resolve?urn=ddd:010864999:mpeg21:a0049:ocr,4,STONE; PREHISTORIC,1931,0,,,,,
WEST-JAVA Praehistorische Vondst,1938/07/03,http://resolver.kb.nl/resolve?urn=MMKB27:021092005:mpeg21:a00144:ocr,4,PREHISTORIC; JAVA,2265,0,,,Bandoeng,-6.91,107.61
Praehistorische Vondst VEESTEENDE REUZENSCHILDPAD BIJ BOEMIAJOE.,1938/07/08,http://resolver.kb.nl/resolve?urn=MMSAB03:000067554:mpeg21:a0099:ocr,4,STONE; PREHISTORIC,2199,0,,,Bandoeng,-6.91,107.61
Archipel Praehistorische vondst. VERSTEENDE REUZENSCHILDPAD.,1938/06/23,http://resolver.kb.nl/resolve?urn=ddd:010383968:mpeg21:a0148:ocr,4,STONE; PREHISTORIC,2239,0,,,Bandoeng,-6.91,107.61
Praehistorisch Monster. De vondst van dr. Von Koenigswald te Boemiajoe. Een versteende reuzenschildpad.,1938/06/18,http://resolver.kb.nl/resolve?urn=MMKB23:003459081:mpeg21:a00237:ocr,4,STONE; PREHISTORIC,2261,0,,,Bandoeng,-6.91,107.61
OUDHEIDKUNDIGE VONDST. Een „fabriek” van steenen bijlen.,1927/11/01,http://resolver.kb.nl/resolve?urn=ddd:010659009:mpeg21:a0067:ocr,4,ARCHAEOLOGY; STONE,1751,0,,,,,
Bijlen uit het Steenen Tijdperk PRAEHISTORISCHE VONDSTEN OP PASIR KARET.,1938/08/31,http://resolver.kb.nl/resolve?urn=MMSAB03:000067734:mpeg21:a0044:ocr,4,STONE; PREHISTORIC,2157,0,,,Batavia; Buitenzorg,-6.17,106.83
WETENSCHAP BIJLEN UIT HET STEENEN TIJDPERK Praehistorische vondst op Pasir Karet.,1938/08/23,http://resolver.kb.nl/resolve?urn=ddd:010664932:mpeg21:a0165:ocr,4,STONE; PREHISTORIC,2124,0,,,Batavia; Buitenzorg,-6.17,106.83
Bijlen uit het Steenen Tijdperk Praehistorische vondsten op Pasir Karet,1938/08/15,http://resolver.kb.nl/resolve?urn=ddd:010865199:mpeg21:a0052:ocr,4,STONE; PREHISTORIC,2119,0,,,Batavia; Buitenzorg,-6.17,106.83
OUDHEIDKUNDIGE VONDST. Een „fabriek” van steenen bijlen.,1927/11/02,http://resolver.kb.nl/resolve?urn=ddd:010988777:mpeg21:a0137:ocr,4,ARCHAEOLOGY; STONE,1330,0,,,,,
VOORWERPEN UIT ’T STEENEN TIJDPERK Een bezoek aan Indische praehistorische „werkplaatsen”,1938/08/23,http://resolver.kb.nl/resolve?urn=ddd:010540370:mpeg21:a0048:ocr,4,STONE; PREHISTORIC,2177,0,,,Batavia; Buitenzorg,-6.17,106.83
Praehistorisch onderzoek op Java,1938/04/15,http://resolver.kb.nl/resolve?urn=ddd:010539305:mpeg21:a0074:ocr,4,PREHISTORIC; JAVA,1907,0,,,Modjokerto; Bandoeng,-7.47,112.43
MUSEUM VAN OUDHEDEN TE LEIJDEN.,1840/03/14,http://resolver.kb.nl/resolve?urn=ddd:010066316:mpeg21:a0007:ocr,3,ARCHAEOLOGY,11680,0,,,,,
Spoorwegen op Oost-Java.,1873/05/05,http://resolver.kb.nl/resolve?urn=ddd:110533871:mpeg21:a0027:ocr,3,CONSTRUCTION; JAVA,13559,0,,,Malang; Modjokerto; Kediri; Madioen; Solo,-7.98,112.63
"UTRECHT, ZondaG 21 Junij Spoorwegen op Java.",1863/06/22,http://resolver.kb.nl/resolve?urn=MMUTRA04:253103141:mpeg21:a00004:ocr,3,CONSTRUCTION; JAVA,20790,0,,,,,
INGEZONDEN. DIAMANTEN EN GOUD OP JAVA.,1902/09/19,http://resolver.kb.nl/resolve?urn=ddd:011033404:mpeg21:a0047:ocr,3,METAL; JAVA,8672,0,,,Batavia,-6.17,106.83
"Nederlandsch-Indië. Uit de Vorstenlanden. Jogja, 22 Augustus 1917. Hindoe-oudheden.",1917/08/23,http://resolver.kb.nl/resolve?urn=MMKB23:001666095:mpeg21:a00030:ocr,3,ARCHAEOLOGY,11868,0,,,Madioen; Solo; Semarang; Magelang; Prambanan; Boroboedoer; Batavia,-7.63,111.52
EEN ARGUMENT TEN GUNSTE VAN HET BATAVIASCH HAVENPLAN.,1877/02/19,http://resolver.kb.nl/resolve?urn=ddd:010102956:mpeg21:a0001:ocr,3,VOLCANIC; JAVA,8212,0,,,Batavia; Buitenzorg,-6.17,106.83
Onze Indische Oudheden.,1915/06/02,http://resolver.kb.nl/resolve?urn=ddd:011037189:mpeg21:a0054:ocr,3,ARCHAEOLOGY,12682,2,1.2m; 3.5m,"0 M. Het geheel ligt ongeveer 1.20 M. onder bet omliggend terrein, er wer | ontgravingen plaats, die tot 3.50 M. diepte werden voortgezet Wat er te",Soerabaja; Modjokerto; Kediri; Magelang; Batavia; Panataran,-7.25,112.75
Over Indische Oudheden,1915/06/03,http://resolver.kb.nl/resolve?urn=ddd:011037190:mpeg21:a0070:ocr,3,ARCHAEOLOGY,11140,0,,,Soerabaja; Malang; Modjokerto; Blitar; Pasoeroean; Prambanan; Batavia,-7.25,112.75
DE OPGRAVINGEN IN DJOKJA.,1886/03/17,http://resolver.kb.nl/resolve?urn=ddd:110616720:mpeg21:a0033:ocr,3,ARCHAEOLOGY,3598,0,,,Djokja; Boroboedoer,-7.8,110.36
"HET RIJKSMUSEUM VAN OUDHEDEN EN HET RIJKSETHNOGRAPHISCH MUSEUM TE LEIDEN, GEDURENDE HET JAAR 1873. [Vervolg en slot. — Zie ons vorig nommer.] MIDDELEEUWSCHE EN LATERE VOORWERPEN,",1874/04/25,http://resolver.kb.nl/resolve?urn=MMKB08:000150011:mpeg21:a0004:ocr,3,ARCHAEOLOGY,24352,4,3.0m; 1.0m; 3.0m; 4.0m,"0.6 c. M. Opgegraven ongeveer 3 M onder den beganen grond, op het ter | by Zwolle, onder den dijk, op 1 M onder AP. Ten geschenko van den hoo | , op eene diepte van ongeveer 3 M. onder AP. Het in eenige dagbladen m",Batavia,-6.17,106.83
Over Indische Oudheden.,1915/10/27,http://resolver.kb.nl/resolve?urn=ddd:011037314:mpeg21:a0080:ocr,3,ARCHAEOLOGY,15029,0,,,Modjokerto; Blitar; Magelang; Batavia,-7.47,112.43
Vervolg der Nieuwstijdingen. Uit de Bataviasche bladen van Maandag.,1875/04/30,http://resolver.kb.nl/resolve?urn=ddd:010995810:mpeg21:a0017:ocr,3,VOLCANIC; JAVA,6079,0,,,Solo; Batavia,-7.57,110.82
Indische oudheden.,1928/02/25,http://resolver.kb.nl/resolve?urn=ddd:010029521:mpeg21:a0183:ocr,3,ARCHAEOLOGY,7448,0,,,Modjokerto; Prambanan,-7.47,112.43
Oudheidkundige Nasporingen.,1913/12/19,http://resolver.kb.nl/resolve?urn=ddd:011036579:mpeg21:a0090:ocr,3,ARCHAEOLOGY,9332,0,,,Djokja; Solo; Semarang; Batavia,-7.8,110.36
Onze Indische Oudheden.,1915/11/06,http://resolver.kb.nl/resolve?urn=ddd:011037323:mpeg21:a0081:ocr,3,ARCHAEOLOGY,21580,0,,,Malang; Modjokerto; Kediri; Blitar; Pasoeroean; Toeban; Banjoewangi; Prambanan; Boroboedoer; Batavia; Panataran; Pakis; Bondowoso,-7.98,112.63
Oudheidkundige Nasporingen.,1913/12/19,http://resolver.kb.nl/resolve?urn=ddd:011036579:mpeg21:a0132:ocr,3,ARCHAEOLOGY,9335,0,,,Djokja; Solo; Semarang; Batavia,-7.8,110.36
HET RIJKSMUSEUM VAN OUDHEDEN EN HET RIJKSETHNOGRAPHISCH MUSEUM TE LEIDEN.,1870/06/06,http://resolver.kb.nl/resolve?urn=MMKB08:000148318:mpeg21:a0008:ocr,3,ARCHAEOLOGY,71305,1,1.8m,"im. * werd in 1866 , ongeveer 1.75 meter onder den bovengrond, in alluvialen",Malang; Banjoewangi; Batavia; Buitenzorg,-7.98,112.63
Oudheden te Salatiga,1929/06/08,http://resolver.kb.nl/resolve?urn=MMKB19:000441032:mpeg21:a00022:ocr,3,ARCHAEOLOGY,3793,0,,,Semarang,-6.97,110.42
Oudheidkundige Vondsten.,1937/09/29,http://resolver.kb.nl/resolve?urn=MMKB19:000470078:mpeg21:a00078:ocr,3,ARCHAEOLOGY,3294,0,,,,,
Oudheidkundige Vondsten. In het district Ngrambé.,1937/09/28,http://resolver.kb.nl/resolve?urn=MMKB23:003466055:mpeg21:a00128:ocr,3,ARCHAEOLOGY,3167,0,,,Toeloengagoeng,-8.07,111.9
Oudheidkundige Vondsten Van eenvoudige voorwerpen tot ingewikkelde bouwwerken,1937/09/30,http://resolver.kb.nl/resolve?urn=ddd:010227617:mpeg21:a0023:ocr,3,ARCHAEOLOGY,3137,0,,,Toeloengagoeng,-8.07,111.9
Niet ongunstig beeld' van suikerondernemingen op Oost-Java,1950/11/02,http://resolver.kb.nl/resolve?urn=ABCDDD:010835036:mpeg21:a0198:ocr,3,STATUE; JAVA,1285,0,,,,,
Opgravingen te Bangil.,1929/10/29,http://resolver.kb.nl/resolve?urn=ddd:110637907:mpeg21:a0123:ocr,3,ARCHAEOLOGY,404,0,,,Djokja,-7.8,110.36
Oudheidkundige Vondst,1934/09/08,http://resolver.kb.nl/resolve?urn=ddd:010230194:mpeg21:a0077:ocr,3,ARCHAEOLOGY,970,0,,,,,
OUDHEIDKUNDIGE VONDST. In Mranggen.,1934/09/14,http://resolver.kb.nl/resolve?urn=ddd:010971270:mpeg21:a0182:ocr,3,ARCHAEOLOGY,976,0,,,,,
NEDERLANDSCH INDIE UIT DE MAILBLADEN. Opgravingen te Bangil.,1929/12/02,http://resolver.kb.nl/resolve?urn=ddd:011170140:mpeg21:a0102:ocr,3,ARCHAEOLOGY,475,1,2.0m,"ren van baksteen aan, circa iy2 meter onder den grond. De opgravingen wor",Djokja,-7.8,110.36
NIET ONBEVREDIGEND BEELD SUIKERCULTUUR OOST-JAVA,1950/11/03,http://resolver.kb.nl/resolve?urn=ddd:110585190:mpeg21:a0121:ocr,3,STATUE; JAVA,2067,0,,,Modjokerto; Madioen,-7.47,112.43
WETENSCHAPPEN. Een Hindoo-Javaansch beeld.,1927/10/07,http://resolver.kb.nl/resolve?urn=ddd:010278888:mpeg21:a0141:ocr,3,STATUE; JAVA,4016,0,,,Semarang; Batavia,-6.97,110.42
De Oudheidkundige Dienst verzet bergen werk,1952/04/09,http://resolver.kb.nl/resolve?urn=MMKB19:000289080:mpeg21:a00025:ocr,3,ARCHAEOLOGY,2764,0,,,Gresik; Prambanan,-7.16,112.65
Expositie Javaans goud,1993/02/23,http://resolver.kb.nl/resolve?urn=ABCDDD:010842572:mpeg21:a0127:ocr,3,METAL; JAVA,955,0,,,,,
Oudheidkundige vondsten.,1924/09/18,http://resolver.kb.nl/resolve?urn=ddd:010657003:mpeg21:a0239:ocr,3,ARCHAEOLOGY,2561,0,,,Malang; Batavia,-7.98,112.63
KUNST EN WETENSCHAP Oudheidkundige vondsten.,1924/08/15,http://resolver.kb.nl/resolve?urn=MMKB08:000141402:mpeg21:a0038:ocr,3,ARCHAEOLOGY,3116,0,,,Malang; Batavia,-7.98,112.63
Eeuwenoud goud uit Java,1993/07/20,http://resolver.kb.nl/resolve?urn=KBPERS01:003116017:mpeg21:a00117:ocr,3,METAL; JAVA,4242,0,,,,,
LEGENDEN VAN JAVA Gedoog Sanga. De Javaansche legende der 9 tempeltjes. Door W. J. Visser. (Nadruk verboden.),1933/02/18,http://resolver.kb.nl/resolve?urn=MMKB23:001745094:mpeg21:a00281:ocr,3,TEMPLE; JAVA,6312,0,,,Boroboedoer; Bandoeng; Merapi,-7.61,110.2
OUDHEIDKUNDIGE DIENST BESTAAT EEN KWART EEUW,1938/06/28,http://resolver.kb.nl/resolve?urn=MMKB15:000120070:mpeg21:a00058:ocr,3,ARCHAEOLOGY,8019,0,,,Boroboedoer; Bandoeng,-7.61,110.2
Oudheidkundig onderzoek op Atjeh.,1906/09/10,http://resolver.kb.nl/resolve?urn=ddd:010134523:mpeg21:a0009:ocr,3,ARCHAEOLOGY,4002,0,,,Malang,-7.98,112.63
Oudheidkundig onderzoek op Atjeh.,1906/09/10,http://resolver.kb.nl/resolve?urn=ddd:011088530:mpeg21:a0033:ocr,3,ARCHAEOLOGY,4071,0,,,Malang,-7.98,112.63
"Nederlandsch – Indië Oudheidkundige Dienst 25 Jaar De Taak van dezen Dienst is niet Afgeloopen, doch in Vele Opzichten Nauwelijks Begonnen Werk, waarvan Publiek niet Veel Merkt",1938/06/20,http://resolver.kb.nl/resolve?urn=ddd:010226718:mpeg21:a0199:ocr,3,ARCHAEOLOGY,7175,0,,,Boroboedoer,-7.61,110.2
Oudheidkundig onderzoek op Atjeh.,1906/09/12,http://resolver.kb.nl/resolve?urn=MMKB23:001629175:mpeg21:a00011:ocr,3,ARCHAEOLOGY,4031,0,,,Malang,-7.98,112.63
Kunst en Wetenschappen. Het resultaat van het onderzoek naar Hindoe oudheden.,1926/01/30,http://resolver.kb.nl/resolve?urn=ddd:010220493:mpeg21:a0188:ocr,3,ARCHAEOLOGY,7118,0,,,Boroboedoer; Batavia,-7.61,110.2
KUNST EN WETENSCHAP. Het Resultaat van het Onderzoek naar Hindoe-oudheden.,1926/01/29,http://resolver.kb.nl/resolve?urn=ddd:011040974:mpeg21:a0132:ocr,3,ARCHAEOLOGY,7397,0,,,Boroboedoer; Batavia,-7.61,110.2
JAVAANSCHE tempels. Over de beteekenis van den reconstructiearbeid.,1929/03/30,http://resolver.kb.nl/resolve?urn=MMKB23:001716070:mpeg21:a00001:ocr,3,TEMPLE; JAVA,10054,0,,,Panataran,-7.93,112.21
HINDOE OUDHEDEN IN HET DJAMBISCHE.,1902/04/09,http://resolver.kb.nl/resolve?urn=ddd:011033264:mpeg21:a0023:ocr,3,ARCHAEOLOGY,19041,0,,,Solo,-7.57,110.82
WETENSCHAP. DE BORNEO EXPEDITIE. Hindoe oudheden.,1926/02/04,http://resolver.kb.nl/resolve?urn=KBDDD02:000198361:mpeg21:a0078:ocr,3,ARCHAEOLOGY,12651,0,,,Boroboedoer; Batavia,-7.61,110.2
In de Javasche Alpen. III. De ontdekking van den Tengger en de Tenggereezen.,1902/04/23,http://resolver.kb.nl/resolve?urn=ddd:011137996:mpeg21:a0001:ocr,3,VOLCANIC; JAVA,16849,0,,,Soerabaja; Malang; Pasoeroean; Probolinggo; Semarang; Batavia; Bromo,-7.25,112.75
Midden-Java Lavastroom bemoeilijkt hulpactie,1979/02/22,http://resolver.kb.nl/resolve?urn=ABCDDD:010841094:mpeg21:a0117:ocr,3,VOLCANIC; JAVA,994,0,,,Semarang,-6.97,110.42
Lava maakt reddingswerk op Midden-Java moeilijk,1979/02/23,http://resolver.kb.nl/resolve?urn=ddd:010572721:mpeg21:a0115:ocr,3,VOLCANIC; JAVA,1555,0,,,Semarang,-6.97,110.42
"17.000 VLUCHTELINGEN; HONDERDEN DODEN? Vulkaan op Java braakt lava, rotsen en gifgas",1979/02/22,http://resolver.kb.nl/resolve?urn=ddd:010960083:mpeg21:a0204:ocr,3,VOLCANIC; JAVA,2312,0,,,Semarang; Merapi,-6.97,110.42
LANDVOOGDELIJKE REIS DOOR OOST-JAVA. Het bezoek aan het penatarantempelcomplex.,1939/02/20,http://resolver.kb.nl/resolve?urn=ddd:011121129:mpeg21:a0132:ocr,3,TEMPLE; JAVA,891,0,,,Malang; Blitar; Penataran; Kloet,-7.98,112.63
BLITAR. (Van onzen Malangschen correspondent.) Het bezoek aan het Penatarantempelcomplex.,1939/02/17,http://resolver.kb.nl/resolve?urn=ddd:010285653:mpeg21:a0255:ocr,3,TEMPLE; JAVA,883,0,,,Malang; Blitar; Penataran; Kloet,-7.98,112.63
Oudheidkundig monument.,1940/08/12,http://resolver.kb.nl/resolve?urn=ddd:011122479:mpeg21:a0205:ocr,3,ARCHAEOLOGY,2587,0,,,Penataran; Kloet,-7.93,112.21
Brieven uit Amsterdam De onthullingen van het Handelsblad. — De havenstaking. — Een nieuwe wandelweg. — De atlas van het Koninklijk Oudheidkundig Genootschap. — Een tentoonstelling in het Paleis voor Volksvlijt.,1920/02/21,http://resolver.kb.nl/resolve?urn=ddd:010006466:mpeg21:a0138:ocr,3,ARCHAEOLOGY,6703,0,,,Kloet,-7.93,112.31
Oudheidkundige sprokkelingen in Barradeel Geen killer oord dan Koehool,1950/12/23,http://resolver.kb.nl/resolve?urn=ddd:010612845:mpeg21:a0121:ocr,3,ARCHAEOLOGY,7980,0,,,Kloet,-7.93,112.31
VERSLAG der werkzaamheden en verrigrtingen van het Bataviaasch Genootschap van Kunsten en Wetenschappen sedert de Algemeene Vergadering van 27 Maart 1863 (voorgelezen in de Algemeene Vergadering van het Genootschap van 30 April 1864).,1864/06/24,http://resolver.kb.nl/resolve?urn=MMKB32:164603051:mpeg21:a00026:ocr,3,VOLCANIC; JAVA,90927,0,,,Malang; Modjokerto; Pasoeroean; Madioen; Toeban; Magelang; Batavia; Buitenzorg; Bondowoso,-7.98,112.63
VERSLAG dor werkzaamheden en verrigtingen van het Bataviaasch Genootschap van Kunsten en Wetenschappen sedert de Algemeene Vergadering van 30 April 1864.,1865/06/20,http://resolver.kb.nl/resolve?urn=MMKB32:164597050:mpeg21:a00022:ocr,3,VOLCANIC; JAVA,47561,0,,,Solo; Batavia,-7.57,110.82
Oudheidkundige dienst in Indië.,1913/07/29,http://resolver.kb.nl/resolve?urn=ddd:010651219:mpeg21:a0019:ocr,3,ARCHAEOLOGY,1187,0,,,Soerabaja; Pasoeroean; Madioen; Djokja; Semarang,-7.25,112.75
Ons oudheidkundig museum.,1932/07/23,http://resolver.kb.nl/resolve?urn=ddd:010284053:mpeg21:a0154:ocr,3,ARCHAEOLOGY,2515,0,,,Malang; Madioen,-7.98,112.63
WETENSCHAPPEN. Oudheidkundige vondst.,1934/05/09,http://resolver.kb.nl/resolve?urn=KBDDD02:000215885:mpeg21:a0186:ocr,3,ARCHAEOLOGY,3240,0,,,Madioen; Solo; Bandoeng,-7.63,111.52
WETENSCHAPPEN. Oudheidkundige vondst.,1934/05/09,http://resolver.kb.nl/resolve?urn=ddd:010993539:mpeg21:a0496:ocr,3,ARCHAEOLOGY,3251,0,,,Madioen; Solo; Bandoeng,-7.63,111.52
Oudheidkundige vondsten in Bezoeki.,1904/01/06,http://resolver.kb.nl/resolve?urn=ddd:011139999:mpeg21:a0084:ocr,3,ARCHAEOLOGY,5459,0,,,Djember; Banjoewangi; Solo; Prambanan; Batavia; Merapi,-8.17,113.7
Japara’s Verleden. Belangwekkende vondsten bij recente opgravingen.,1931/03/05,http://resolver.kb.nl/resolve?urn=MMKB23:001758007:mpeg21:a00002:ocr,3,ARCHAEOLOGY,14924,0,,,Gresik; Toeban,-7.16,112.65
Oudheidkundig museum.,1931/12/17,http://resolver.kb.nl/resolve?urn=ddd:011109488:mpeg21:a0213:ocr,3,ARCHAEOLOGY,3384,0,,,Malang; Kediri; Toeban; Solo; Batavia,-7.98,112.63
Voorouders der Toradja’s Opgravingen in Centraal-Celebes,1950/01/31,http://resolver.kb.nl/resolve?urn=ddd:010862597:mpeg21:a0069:ocr,3,ARCHAEOLOGY,2432,0,,,,,
"Bijlen, beitels en boomschorskloppers Belangrijke opgravingen in Centraal-Celebes Zuid-Toradja's trokken uit Philippijnen naar Celehes",1950/01/31,http://resolver.kb.nl/resolve?urn=ddd:011210629:mpeg21:a0063:ocr,3,ARCHAEOLOGY,2550,0,,,,,
Het Praehistorisch Congres,1938/02/10,http://resolver.kb.nl/resolve?urn=MMKB15:000125033:mpeg21:a00060:ocr,3,PREHISTORIC,5037,0,,,Batavia,-6.17,106.83
Het Praehistorisch Congres De Indische delegatie weer thuis,1938/02/03,http://resolver.kb.nl/resolve?urn=ddd:010864812:mpeg21:a0049:ocr,3,PREHISTORIC,4952,0,,,Batavia,-6.17,106.83
Oudheidkundige vondst.,1927/10/01,http://resolver.kb.nl/resolve?urn=MMKB23:001706077:mpeg21:a00138:ocr,3,ARCHAEOLOGY,1713,0,,,,,
Een bezoek aan praehistorische werkplaatsen,1938/08/23,http://resolver.kb.nl/resolve?urn=MMGAZS01:000100096:mpeg21:a00023:ocr,3,PREHISTORIC,2173,0,,,Batavia; Buitenzorg,-6.17,106.83
BINNENLAND. PRAEHISTORISCHE WERKPLAATSEN. Op een theeonderneming. Wat er gevonden werd.,1938/08/17,http://resolver.kb.nl/resolve?urn=ddd:010286107:mpeg21:a0077:ocr,3,PREHISTORIC,2179,0,,,Batavia; Buitenzorg,-6.17,106.83
Een belangrijke oudheidkundige Vondst.,1927/10/08,http://resolver.kb.nl/resolve?urn=ddd:011071797:mpeg21:a0162:ocr,3,ARCHAEOLOGY,1705,0,,,Djokja,-7.8,110.36
Praehistorische werkplaatsen,1938/08/17,http://resolver.kb.nl/resolve?urn=ddd:011121076:mpeg21:a0136:ocr,3,PREHISTORIC,2111,0,,,Batavia; Buitenzorg,-6.17,106.83
PRAEHISTORISCH ONDERZOEK IN N.I. Verschillende cultuurgolven.,1927/07/05,http://resolver.kb.nl/resolve?urn=ddd:010659601:mpeg21:a0192:ocr,3,PREHISTORIC,3369,0,,,Madioen; Bandoeng,-7.63,111.52
Praehistorisch onderzoek.,1927/06/10,http://resolver.kb.nl/resolve?urn=ddd:010970208:mpeg21:a0066:ocr,3,PREHISTORIC,3196,0,,,Madioen; Bandoeng,-7.63,111.52
UIT ONZE OOST. PRAEHISTORISCHE WERK. PLAATSEN.,1938/08/23,http://resolver.kb.nl/resolve?urn=MMKB04:000193613:mpeg21:a0095:ocr,3,PREHISTORIC,3575,0,,,Batavia; Buitenzorg,-6.17,106.83
PRAEHISTORISCHE ARMBANDEN Vondst van dr. von Koenigswald.,1938/08/27,http://resolver.kb.nl/resolve?urn=KBNRC01:000056953:mpeg21:a0007:ocr,3,PREHISTORIC,1107,0,,,Solo,-7.57,110.82
PRAEHISTORISCHE VONDSTEN. Eerste rapport van dr. Von Stein Callenfels. VAN GROOT BELANG.,1933/09/18,http://resolver.kb.nl/resolve?urn=ddd:010284722:mpeg21:a0074:ocr,3,PREHISTORIC,964,0,,,,,
PRAEHISTORISCHE VONDST Armbanden van onbekend type,1938/08/26,http://resolver.kb.nl/resolve?urn=ddd:010540375:mpeg21:a0091:ocr,3,PREHISTORIC,1099,0,,,Solo; Bandoeng,-7.57,110.82
DE PRAEHISTORISCHE VONDSTEN IN CELEBES.,1933/09/18,http://resolver.kb.nl/resolve?urn=ddd:011109788:mpeg21:a0094:ocr,3,PREHISTORIC,914,0,,,,,
Oudheidkundig Onderzoek.,1929/08/01,http://resolver.kb.nl/resolve?urn=ddd:010221527:mpeg21:a0079:ocr,3,ARCHAEOLOGY,4445,0,,,Kediri; Madioen; Buitenzorg; Merapi,-7.82,112.01
Vander Hoop Weer in Indië. Onderzoekingen op praehistorisch gebied.,1933/11/09,http://resolver.kb.nl/resolve?urn=MMKB23:001766016:mpeg21:a00170:ocr,3,PREHISTORIC,835,0,,,Batavia,-6.17,106.83
